Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.26,1.48,12,37-25,6810,6703
Formal,1.26,1.14,5,42-37,6715,9488
John,1.79,1.73,19,45-26,7530,8158
Skyz,1.93,1.59,13,35-22,7030,6970
Slacked,1.68,1.62,18,47-29,6805,7311
Totals,1.55,1.48,67,206-139,34890,38630
Vanity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Deelo,0.9,0.76,-11,35-46,4265,7515
Landxn,0.5,0.54,-19,22-41,3090,6333
Owakening,0.89,0.97,-1,38-39,5880,8392
Reaper,0.48,0.54,-18,21-39,3040,4927
Willett,0.42,0.52,-21,23-44,3415,5204
Totals,0.64,0.67,-70,139-209,19690,32371
Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.26,1.48,12,37-25,6810,6703
Formal,1.26,1.14,5,42-37,6715,9488
John,1.79,1.73,19,45-26,7530,8158
Skyz,1.93,1.59,13,35-22,7030,6970
Slacked,1.68,1.62,18,47-29,6805,7311
Totals,1.55,1.48,67,206-139,34890,38630
Vanity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Deelo,0.9,0.76,-11,35-46,4265,7515
Landxn,0.5,0.54,-19,22-41,3090,6333
Owakening,0.89,0.97,-1,38-39,5880,8392
Reaper,0.48,0.54,-18,21-39,3040,4927
Willett,0.42,0.52,-21,23-44,3415,5204
Totals,0.64,0.67,-70,139-209,19690,32371
Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.26,1.48,12,37-25,6810,6703
Formal,1.26,1.14,5,42-37,6715,9488
John,1.79,1.73,19,45-26,7530,8158
Skyz,1.93,1.59,13,35-22,7030,6970
Slacked,1.68,1.62,18,47-29,6805,7311
Totals,1.55,1.48,67,206-139,34890,38630
Vanity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Deelo,0.9,0.76,-11,35-46,4265,7515
Landxn,0.5,0.54,-19,22-41,3090,6333
Owakening,0.89,0.97,-1,38-39,5880,8392
Reaper,0.48,0.54,-18,21-39,3040,4927
Willett,0.42,0.52,-21,23-44,3415,5204
Totals,0.64,0.67,-70,139-209,19690,32371
