Carnage Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Charullz,0.78,0.82,-9,40-49,5920,9153
Destiny,0.63,0.64,-15,27-42,4635,6876
Newbz,0.74,0.67,-18,37-55,5645,7783
Pentagrxm,1.17,1.09,4,47-43,7420,10235
Vicious,0.86,0.98,-1,44-45,6300,8384
Totals,0.83,0.83,-39,195-234,29920,42431
TrainHard,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Creza,1.12,1.13,5,43-38,6705,9317
Natshay,1.22,1.13,5,45-40,7545,10009
Rizk,1.36,1.36,14,53-39,7475,10711
Yako,1.35,1.47,20,63-43,8305,11239
Zeeked,0.91,0.86,-5,30-35,5520,9177
Totals,1.2,1.2,39,234-195,35550,50453
Carnage Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Charullz,0.78,0.82,-9,40-49,5920,9153
Destiny,0.63,0.64,-15,27-42,4635,6876
Newbz,0.74,0.67,-18,37-55,5645,7783
Pentagrxm,1.17,1.09,4,47-43,7420,10235
Vicious,0.86,0.98,-1,44-45,6300,8384
Totals,0.83,0.83,-39,195-234,29920,42431
TrainHard,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Creza,1.12,1.13,5,43-38,6705,9317
Natshay,1.22,1.13,5,45-40,7545,10009
Rizk,1.36,1.36,14,53-39,7475,10711
Yako,1.35,1.47,20,63-43,8305,11239
Zeeked,0.91,0.86,-5,30-35,5520,9177
Totals,1.2,1.2,39,234-195,35550,50453
Carnage Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Charullz,0.78,0.82,-9,40-49,5920,9153
Destiny,0.63,0.64,-15,27-42,4635,6876
Newbz,0.74,0.67,-18,37-55,5645,7783
Pentagrxm,1.17,1.09,4,47-43,7420,10235
Vicious,0.86,0.98,-1,44-45,6300,8384
Totals,0.83,0.83,-39,195-234,29920,42431
TrainHard,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Creza,1.12,1.13,5,43-38,6705,9317
Natshay,1.22,1.13,5,45-40,7545,10009
Rizk,1.36,1.36,14,53-39,7475,10711
Yako,1.35,1.47,20,63-43,8305,11239
Zeeked,0.91,0.86,-5,30-35,5520,9177
Totals,1.2,1.2,39,234-195,35550,50453
