Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,0.93,1.03,2,60-58,9275,13698
Apathy,1.01,1.01,1,74-73,11195,14623
Attach,0.85,0.88,-8,57-65,8420,12967
JKap,0.83,0.91,-6,59-65,9230,13398
Xotic,0.68,0.73,-20,53-73,8845,11628
Totals,0.86,0.91,-31,303-334,46965,66314
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.32,1.29,16,71-55,10160,15949
Dashy,1.65,1.4,21,74-53,12270,15698
Karma,0.81,0.79,-13,48-61,8470,10343
Scump,1.1,1.15,10,77-67,11650,15046
TJHaly,1.08,0.96,-3,64-67,9895,14790
Totals,1.17,1.1,31,334-303,52445,71826
Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,0.93,1.03,2,60-58,9275,13698
Apathy,1.01,1.01,1,74-73,11195,14623
Attach,0.85,0.88,-8,57-65,8420,12967
JKap,0.83,0.91,-6,59-65,9230,13398
Xotic,0.68,0.73,-20,53-73,8845,11628
Totals,0.86,0.91,-31,303-334,46965,66314
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.32,1.29,16,71-55,10160,15949
Dashy,1.65,1.4,21,74-53,12270,15698
Karma,0.81,0.79,-13,48-61,8470,10343
Scump,1.1,1.15,10,77-67,11650,15046
TJHaly,1.08,0.96,-3,64-67,9895,14790
Totals,1.17,1.1,31,334-303,52445,71826
Evil Geniuses,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,0.93,1.03,2,60-58,9275,13698
Apathy,1.01,1.01,1,74-73,11195,14623
Attach,0.85,0.88,-8,57-65,8420,12967
JKap,0.83,0.91,-6,59-65,9230,13398
Xotic,0.68,0.73,-20,53-73,8845,11628
Totals,0.86,0.91,-31,303-334,46965,66314
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.32,1.29,16,71-55,10160,15949
Dashy,1.65,1.4,21,74-53,12270,15698
Karma,0.81,0.79,-13,48-61,8470,10343
Scump,1.1,1.15,10,77-67,11650,15046
TJHaly,1.08,0.96,-3,64-67,9895,14790
Totals,1.17,1.1,31,334-303,52445,71826
Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,0.93,1.03,2,60-58,9275,13698
Apathy,1.01,1.01,1,74-73,11195,14623
Attach,0.85,0.88,-8,57-65,8420,12967
JKap,0.83,0.91,-6,59-65,9230,13398
Xotic,0.68,0.73,-20,53-73,8845,11628
Totals,0.86,0.91,-31,303-334,46965,66314
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.32,1.29,16,71-55,10160,15949
Dashy,1.65,1.4,21,74-53,12270,15698
Karma,0.81,0.79,-13,48-61,8470,10343
Scump,1.1,1.15,10,77-67,11650,15046
TJHaly,1.08,0.96,-3,64-67,9895,14790
Totals,1.17,1.1,31,334-303,52445,71826
