Team Envy,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.61,0.64,-30,54-84,9525,15248
Assault,1.11,1.11,7,73-66,10975,16415
Decemate,1.24,1.26,17,83-66,12150,16821
Gunless,0.97,1,0,74-74,10910,15700
Silly,0.77,0.85,-13,72-85,10985,15782
Totals,0.92,0.95,-19,356-375,54545,79966
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.93,0.93,-5,71-76,9940,14188
Joee,1.48,1.41,26,90-64,14010,15911
Nolson,1.22,1.14,10,79-69,12300,17405
Rated,0.86,0.9,-8,71-79,11120,14516
Weeman,1.02,0.94,-4,64-68,10255,15021
Totals,1.09,1.05,19,375-356,57625,77041
Team Envy,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.61,0.64,-30,54-84,9525,15248
Assault,1.11,1.11,7,73-66,10975,16415
Decemate,1.24,1.26,17,83-66,12150,16821
Gunless,0.97,1,0,74-74,10910,15700
Silly,0.77,0.85,-13,72-85,10985,15782
Totals,0.92,0.95,-19,356-375,54545,79966
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.93,0.93,-5,71-76,9940,14188
Joee,1.48,1.41,26,90-64,14010,15911
Nolson,1.22,1.14,10,79-69,12300,17405
Rated,0.86,0.9,-8,71-79,11120,14516
Weeman,1.02,0.94,-4,64-68,10255,15021
Totals,1.09,1.05,19,375-356,57625,77041
Team Envy,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.61,0.64,-30,54-84,9525,15248
Assault,1.11,1.11,7,73-66,10975,16415
Decemate,1.24,1.26,17,83-66,12150,16821
Gunless,0.97,1,0,74-74,10910,15700
Silly,0.77,0.85,-13,72-85,10985,15782
Totals,0.92,0.95,-19,356-375,54545,79966
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.93,0.93,-5,71-76,9940,14188
Joee,1.48,1.41,26,90-64,14010,15911
Nolson,1.22,1.14,10,79-69,12300,17405
Rated,0.86,0.9,-8,71-79,11120,14516
Weeman,1.02,0.94,-4,64-68,10255,15021
Totals,1.09,1.05,19,375-356,57625,77041
Team Envy,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.61,0.64,-30,54-84,9525,15248
Assault,1.11,1.11,7,73-66,10975,16415
Decemate,1.24,1.26,17,83-66,12150,16821
Gunless,0.97,1,0,74-74,10910,15700
Silly,0.77,0.85,-13,72-85,10985,15782
Totals,0.92,0.95,-19,356-375,54545,79966
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.93,0.93,-5,71-76,9940,14188
Joee,1.48,1.41,26,90-64,14010,15911
Nolson,1.22,1.14,10,79-69,12300,17405
Rated,0.86,0.9,-8,71-79,11120,14516
Weeman,1.02,0.94,-4,64-68,10255,15021
Totals,1.09,1.05,19,375-356,57625,77041
Team Envy,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.61,0.64,-30,54-84,9525,15248
Assault,1.11,1.11,7,73-66,10975,16415
Decemate,1.24,1.26,17,83-66,12150,16821
Gunless,0.97,1,0,74-74,10910,15700
Silly,0.77,0.85,-13,72-85,10985,15782
Totals,0.92,0.95,-19,356-375,54545,79966
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.93,0.93,-5,71-76,9940,14188
Joee,1.48,1.41,26,90-64,14010,15911
Nolson,1.22,1.14,10,79-69,12300,17405
Rated,0.86,0.9,-8,71-79,11120,14516
Weeman,1.02,0.94,-4,64-68,10255,15021
Totals,1.09,1.05,19,375-356,57625,77041
