eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.77,1.65,15,38-23,5495,6599
Arcitys,2.08,2.06,19,37-18,6020,7414
Clayster,1.6,1.57,12,33-21,5215,6082
Prestinni,1.92,1.88,15,32-17,5710,6171
Simp,1.68,1.68,15,37-22,6195,6971
Totals,1.8,1.75,76,177-101,28635,33237
RBL eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.04,1,0,67-67,9710,13743
Glory,1,0.9,-7,61-68,8885,14415
Gunsiii,0.95,0.85,-10,58-68,8345,12070
HumanJesus,0.67,0.8,-11,43-54,8395,9565
KlinK,0.77,0.9,-6,53-59,8815,10975
Totals,0.9,0.89,-34,282-316,44150,60768
eUnited,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.77,1.65,15,38-23,5495,6599
Arcitys,2.08,2.06,19,37-18,6020,7414
Clayster,1.6,1.57,12,33-21,5215,6082
Prestinni,1.92,1.88,15,32-17,5710,6171
Simp,1.68,1.68,15,37-22,6195,6971
Totals,1.8,1.75,76,177-101,28635,33237
RBL eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.04,1,0,67-67,9710,13743
Glory,1,0.9,-7,61-68,8885,14415
Gunsiii,0.95,0.85,-10,58-68,8345,12070
HumanJesus,0.67,0.8,-11,43-54,8395,9565
KlinK,0.77,0.9,-6,53-59,8815,10975
Totals,0.9,0.89,-34,282-316,44150,60768
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.77,1.65,15,38-23,5495,6599
Arcitys,2.08,2.06,19,37-18,6020,7414
Clayster,1.6,1.57,12,33-21,5215,6082
Prestinni,1.92,1.88,15,32-17,5710,6171
Simp,1.68,1.68,15,37-22,6195,6971
Totals,1.8,1.75,76,177-101,28635,33237
RBL eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.04,1,0,67-67,9710,13743
Glory,1,0.9,-7,61-68,8885,14415
Gunsiii,0.95,0.85,-10,58-68,8345,12070
HumanJesus,0.67,0.8,-11,43-54,8395,9565
KlinK,0.77,0.9,-6,53-59,8815,10975
Totals,0.9,0.89,-34,282-316,44150,60768
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.77,1.65,15,38-23,5495,6599
Arcitys,2.08,2.06,19,37-18,6020,7414
Clayster,1.6,1.57,12,33-21,5215,6082
Prestinni,1.92,1.88,15,32-17,5710,6171
Simp,1.68,1.68,15,37-22,6195,6971
Totals,1.8,1.75,76,177-101,28635,33237
RBL eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.04,1,0,67-67,9710,13743
Glory,1,0.9,-7,61-68,8885,14415
Gunsiii,0.95,0.85,-10,58-68,8345,12070
HumanJesus,0.67,0.8,-11,43-54,8395,9565
KlinK,0.77,0.9,-6,53-59,8815,10975
Totals,0.9,0.89,-34,282-316,44150,60768
