Sicario Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,1.12,1.16,11,80-69,12700,18164
Exceed,0.92,0.99,-1,73-74,10800,17179
Linney,0.79,0.82,-14,62-76,10230,13359
Proto,0.85,0.93,-6,76-82,12015,14962
Tommey,1.16,1.14,10,80-70,14430,16201
Totals,0.96,1,0,371-371,60175,79865
Singularity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,1.05,1.03,2,77-75,12140,16137
CleanX,0.9,1,0,77-77,11550,14965
detain,0.92,0.91,-7,74-81,11270,14693
Insight,1.51,1.17,11,77-66,12355,17434
Keza,0.91,0.92,-6,66-72,10505,14380
Totals,1.04,1,0,371-371,57820,77609
Sicario Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,1.12,1.16,11,80-69,12700,18164
Exceed,0.92,0.99,-1,73-74,10800,17179
Linney,0.79,0.82,-14,62-76,10230,13359
Proto,0.85,0.93,-6,76-82,12015,14962
Tommey,1.16,1.14,10,80-70,14430,16201
Totals,0.96,1,0,371-371,60175,79865
Singularity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,1.05,1.03,2,77-75,12140,16137
CleanX,0.9,1,0,77-77,11550,14965
detain,0.92,0.91,-7,74-81,11270,14693
Insight,1.51,1.17,11,77-66,12355,17434
Keza,0.91,0.92,-6,66-72,10505,14380
Totals,1.04,1,0,371-371,57820,77609
Sicario Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,1.12,1.16,11,80-69,12700,18164
Exceed,0.92,0.99,-1,73-74,10800,17179
Linney,0.79,0.82,-14,62-76,10230,13359
Proto,0.85,0.93,-6,76-82,12015,14962
Tommey,1.16,1.14,10,80-70,14430,16201
Totals,0.96,1,0,371-371,60175,79865
Singularity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,1.05,1.03,2,77-75,12140,16137
CleanX,0.9,1,0,77-77,11550,14965
detain,0.92,0.91,-7,74-81,11270,14693
Insight,1.51,1.17,11,77-66,12355,17434
Keza,0.91,0.92,-6,66-72,10505,14380
Totals,1.04,1,0,371-371,57820,77609
Sicario Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,1.12,1.16,11,80-69,12700,18164
Exceed,0.92,0.99,-1,73-74,10800,17179
Linney,0.79,0.82,-14,62-76,10230,13359
Proto,0.85,0.93,-6,76-82,12015,14962
Tommey,1.16,1.14,10,80-70,14430,16201
Totals,0.96,1,0,371-371,60175,79865
Singularity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,1.05,1.03,2,77-75,12140,16137
CleanX,0.9,1,0,77-77,11550,14965
detain,0.92,0.91,-7,74-81,11270,14693
Insight,1.51,1.17,11,77-66,12355,17434
Keza,0.91,0.92,-6,66-72,10505,14380
Totals,1.04,1,0,371-371,57820,77609
