eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.13,1.41,18,62-44,9475,11445
Arcitys,1.04,1.31,12,51-39,8370,10938
Clayster,1.03,1.16,7,51-44,8160,10121
Prestinni,1.16,1.18,8,52-44,8930,11241
Simp,1.19,1.39,17,61-44,10105,12355
Totals,1.11,1.29,62,277-215,45040,56100
Team WaR,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.76,0.67,-19,39-58,6575,9441
Dqvee,1.12,1.14,6,48-42,6090,9768
Joshh,0.84,0.75,-15,45-60,6370,9424
Peatie,0.64,0.56,-26,33-59,6205,9991
Vortex,1.13,0.81,-11,47-58,7560,9957
Totals,0.88,0.77,-65,212-277,32800,48581
eUnited,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.13,1.41,18,62-44,9475,11445
Arcitys,1.04,1.31,12,51-39,8370,10938
Clayster,1.03,1.16,7,51-44,8160,10121
Prestinni,1.16,1.18,8,52-44,8930,11241
Simp,1.19,1.39,17,61-44,10105,12355
Totals,1.11,1.29,62,277-215,45040,56100
Team WaR,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.76,0.67,-19,39-58,6575,9441
Dqvee,1.12,1.14,6,48-42,6090,9768
Joshh,0.84,0.75,-15,45-60,6370,9424
Peatie,0.64,0.56,-26,33-59,6205,9991
Vortex,1.13,0.81,-11,47-58,7560,9957
Totals,0.88,0.77,-65,212-277,32800,48581
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.13,1.41,18,62-44,9475,11445
Arcitys,1.04,1.31,12,51-39,8370,10938
Clayster,1.03,1.16,7,51-44,8160,10121
Prestinni,1.16,1.18,8,52-44,8930,11241
Simp,1.19,1.39,17,61-44,10105,12355
Totals,1.11,1.29,62,277-215,45040,56100
Team WaR,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.76,0.67,-19,39-58,6575,9441
Dqvee,1.12,1.14,6,48-42,6090,9768
Joshh,0.84,0.75,-15,45-60,6370,9424
Peatie,0.64,0.56,-26,33-59,6205,9991
Vortex,1.13,0.81,-11,47-58,7560,9957
Totals,0.88,0.77,-65,212-277,32800,48581
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.13,1.41,18,62-44,9475,11445
Arcitys,1.04,1.31,12,51-39,8370,10938
Clayster,1.03,1.16,7,51-44,8160,10121
Prestinni,1.16,1.18,8,52-44,8930,11241
Simp,1.19,1.39,17,61-44,10105,12355
Totals,1.11,1.29,62,277-215,45040,56100
Team WaR,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.76,0.67,-19,39-58,6575,9441
Dqvee,1.12,1.14,6,48-42,6090,9768
Joshh,0.84,0.75,-15,45-60,6370,9424
Peatie,0.64,0.56,-26,33-59,6205,9991
Vortex,1.13,0.81,-11,47-58,7560,9957
Totals,0.88,0.77,-65,212-277,32800,48581
