Evil Geniuses,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.13,1.25,16,79-63,12785,16248
Apathy,1.29,1.28,19,88-69,12310,18346
Attach,1.28,1.27,17,79-62,12370,16431
JKap,0.66,0.72,-19,48-67,8685,11303
Xotic,1.08,1.09,6,71-65,11025,13837
Totals,1.08,1.12,39,365-326,57175,76165
Splyce,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.16,1.1,6,68-62,10785,14582
Huke,0.85,0.88,-9,67-76,10860,13505
Jurd,0.69,0.73,-21,56-77,9160,11809
Loony,1.09,0.94,-4,68-72,10550,14761
Temp,0.83,0.82,-14,65-79,10975,15792
Totals,0.91,0.89,-42,324-366,52330,70449
Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.13,1.25,16,79-63,12785,16248
Apathy,1.29,1.28,19,88-69,12310,18346
Attach,1.28,1.27,17,79-62,12370,16431
JKap,0.66,0.72,-19,48-67,8685,11303
Xotic,1.08,1.09,6,71-65,11025,13837
Totals,1.08,1.12,39,365-326,57175,76165
Splyce,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.16,1.1,6,68-62,10785,14582
Huke,0.85,0.88,-9,67-76,10860,13505
Jurd,0.69,0.73,-21,56-77,9160,11809
Loony,1.09,0.94,-4,68-72,10550,14761
Temp,0.83,0.82,-14,65-79,10975,15792
Totals,0.91,0.89,-42,324-366,52330,70449
Evil Geniuses,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.13,1.25,16,79-63,12785,16248
Apathy,1.29,1.28,19,88-69,12310,18346
Attach,1.28,1.27,17,79-62,12370,16431
JKap,0.66,0.72,-19,48-67,8685,11303
Xotic,1.08,1.09,6,71-65,11025,13837
Totals,1.08,1.12,39,365-326,57175,76165
Splyce,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.16,1.1,6,68-62,10785,14582
Huke,0.85,0.88,-9,67-76,10860,13505
Jurd,0.69,0.73,-21,56-77,9160,11809
Loony,1.09,0.94,-4,68-72,10550,14761
Temp,0.83,0.82,-14,65-79,10975,15792
Totals,0.91,0.89,-42,324-366,52330,70449
Evil Geniuses,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.13,1.25,16,79-63,12785,16248
Apathy,1.29,1.28,19,88-69,12310,18346
Attach,1.28,1.27,17,79-62,12370,16431
JKap,0.66,0.72,-19,48-67,8685,11303
Xotic,1.08,1.09,6,71-65,11025,13837
Totals,1.08,1.12,39,365-326,57175,76165
Splyce,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.16,1.1,6,68-62,10785,14582
Huke,0.85,0.88,-9,67-76,10860,13505
Jurd,0.69,0.73,-21,56-77,9160,11809
Loony,1.09,0.94,-4,68-72,10550,14761
Temp,0.83,0.82,-14,65-79,10975,15792
Totals,0.91,0.89,-42,324-366,52330,70449
