100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.86,0.86,-10,63-73,9645,12577
Kenny,0.84,0.76,-18,58-76,8300,13399
Octane,1.1,1.19,11,68-57,10940,14566
Priestahh,0.67,0.61,-33,51-84,8450,14103
Slasher,0.98,0.92,-6,68-74,9055,16590
Totals,0.88,0.85,-56,308-364,46390,71235
Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1,1.1,6,67-61,10650,12565
Formal,1.22,1.25,17,85-68,13065,18134
John,1.1,1.14,9,75-66,12340,13437
Skyz,1.27,1.2,10,61-51,10865,14090
Slacked,1.06,1.19,12,76-64,12015,14684
Totals,1.13,1.17,54,364-310,58935,72910
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.86,0.86,-10,63-73,9645,12577
Kenny,0.84,0.76,-18,58-76,8300,13399
Octane,1.1,1.19,11,68-57,10940,14566
Priestahh,0.67,0.61,-33,51-84,8450,14103
Slasher,0.98,0.92,-6,68-74,9055,16590
Totals,0.88,0.85,-56,308-364,46390,71235
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1,1.1,6,67-61,10650,12565
Formal,1.22,1.25,17,85-68,13065,18134
John,1.1,1.14,9,75-66,12340,13437
Skyz,1.27,1.2,10,61-51,10865,14090
Slacked,1.06,1.19,12,76-64,12015,14684
Totals,1.13,1.17,54,364-310,58935,72910
100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.86,0.86,-10,63-73,9645,12577
Kenny,0.84,0.76,-18,58-76,8300,13399
Octane,1.1,1.19,11,68-57,10940,14566
Priestahh,0.67,0.61,-33,51-84,8450,14103
Slasher,0.98,0.92,-6,68-74,9055,16590
Totals,0.88,0.85,-56,308-364,46390,71235
Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1,1.1,6,67-61,10650,12565
Formal,1.22,1.25,17,85-68,13065,18134
John,1.1,1.14,9,75-66,12340,13437
Skyz,1.27,1.2,10,61-51,10865,14090
Slacked,1.06,1.19,12,76-64,12015,14684
Totals,1.13,1.17,54,364-310,58935,72910
100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.86,0.86,-10,63-73,9645,12577
Kenny,0.84,0.76,-18,58-76,8300,13399
Octane,1.1,1.19,11,68-57,10940,14566
Priestahh,0.67,0.61,-33,51-84,8450,14103
Slasher,0.98,0.92,-6,68-74,9055,16590
Totals,0.88,0.85,-56,308-364,46390,71235
Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1,1.1,6,67-61,10650,12565
Formal,1.22,1.25,17,85-68,13065,18134
John,1.1,1.14,9,75-66,12340,13437
Skyz,1.27,1.2,10,61-51,10865,14090
Slacked,1.06,1.19,12,76-64,12015,14684
Totals,1.13,1.17,54,364-310,58935,72910
