Elevate,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.76,0.79,-8,30-38,4720,5828
Lacefield,0.76,0.95,-2,37-39,5435,8454
MRuiz,0.6,0.66,-14,27-41,4940,7006
Profeezy,0.8,0.73,-11,30-41,4740,6474
Wailers,0.92,0.91,-3,31-34,5075,6709
Totals,0.76,0.8,-38,155-193,24910,34471
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.13,1.17,5,35-30,5350,6557
General,1.27,1.32,9,37-28,6610,8164
GodRx,1.8,1.55,17,48-31,7040,9239
Kismet,1.33,1.29,10,44-34,6600,8210
Mayhem,0.96,0.88,-4,28-32,4950,5824
Totals,1.3,1.24,37,192-155,30550,37994
Elevate,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.76,0.79,-8,30-38,4720,5828
Lacefield,0.76,0.95,-2,37-39,5435,8454
MRuiz,0.6,0.66,-14,27-41,4940,7006
Profeezy,0.8,0.73,-11,30-41,4740,6474
Wailers,0.92,0.91,-3,31-34,5075,6709
Totals,0.76,0.8,-38,155-193,24910,34471
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.13,1.17,5,35-30,5350,6557
General,1.27,1.32,9,37-28,6610,8164
GodRx,1.8,1.55,17,48-31,7040,9239
Kismet,1.33,1.29,10,44-34,6600,8210
Mayhem,0.96,0.88,-4,28-32,4950,5824
Totals,1.3,1.24,37,192-155,30550,37994
Elevate,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.76,0.79,-8,30-38,4720,5828
Lacefield,0.76,0.95,-2,37-39,5435,8454
MRuiz,0.6,0.66,-14,27-41,4940,7006
Profeezy,0.8,0.73,-11,30-41,4740,6474
Wailers,0.92,0.91,-3,31-34,5075,6709
Totals,0.76,0.8,-38,155-193,24910,34471
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.13,1.17,5,35-30,5350,6557
General,1.27,1.32,9,37-28,6610,8164
GodRx,1.8,1.55,17,48-31,7040,9239
Kismet,1.33,1.29,10,44-34,6600,8210
Mayhem,0.96,0.88,-4,28-32,4950,5824
Totals,1.3,1.24,37,192-155,30550,37994
