Splyce,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.34,1.33,20,80-60,11925,17014
Huke,1.15,1.24,17,89-72,13460,17097
Jurd,0.87,0.92,-6,72-78,10850,15802
Loony,1.3,1,0,60-60,11500,14213
Temp,1.32,1.33,23,93-70,13090,20138
Totals,1.18,1.16,54,394-340,60825,84264
Team WaR,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.95,0.9,-8,69-77,12515,15113
Dqvee,0.97,0.98,-1,65-66,10905,15184
Joshh,0.8,0.86,-11,70-81,9885,14171
Peatie,0.67,0.69,-27,61-88,10560,14858
Vortex,0.8,0.87,-11,74-85,10345,14849
Totals,0.83,0.85,-58,339-397,54210,74175
Splyce,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.34,1.33,20,80-60,11925,17014
Huke,1.15,1.24,17,89-72,13460,17097
Jurd,0.87,0.92,-6,72-78,10850,15802
Loony,1.3,1,0,60-60,11500,14213
Temp,1.32,1.33,23,93-70,13090,20138
Totals,1.18,1.16,54,394-340,60825,84264
Team WaR,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.95,0.9,-8,69-77,12515,15113
Dqvee,0.97,0.98,-1,65-66,10905,15184
Joshh,0.8,0.86,-11,70-81,9885,14171
Peatie,0.67,0.69,-27,61-88,10560,14858
Vortex,0.8,0.87,-11,74-85,10345,14849
Totals,0.83,0.85,-58,339-397,54210,74175
Splyce,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.34,1.33,20,80-60,11925,17014
Huke,1.15,1.24,17,89-72,13460,17097
Jurd,0.87,0.92,-6,72-78,10850,15802
Loony,1.3,1,0,60-60,11500,14213
Temp,1.32,1.33,23,93-70,13090,20138
Totals,1.18,1.16,54,394-340,60825,84264
Team WaR,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.95,0.9,-8,69-77,12515,15113
Dqvee,0.97,0.98,-1,65-66,10905,15184
Joshh,0.8,0.86,-11,70-81,9885,14171
Peatie,0.67,0.69,-27,61-88,10560,14858
Vortex,0.8,0.87,-11,74-85,10345,14849
Totals,0.83,0.85,-58,339-397,54210,74175
Splyce,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.34,1.33,20,80-60,11925,17014
Huke,1.15,1.24,17,89-72,13460,17097
Jurd,0.87,0.92,-6,72-78,10850,15802
Loony,1.3,1,0,60-60,11500,14213
Temp,1.32,1.33,23,93-70,13090,20138
Totals,1.18,1.16,54,394-340,60825,84264
Team WaR,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.95,0.9,-8,69-77,12515,15113
Dqvee,0.97,0.98,-1,65-66,10905,15184
Joshh,0.8,0.86,-11,70-81,9885,14171
Peatie,0.67,0.69,-27,61-88,10560,14858
Vortex,0.8,0.87,-11,74-85,10345,14849
Totals,0.83,0.85,-58,339-397,54210,74175
Splyce,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.34,1.33,20,80-60,11925,17014
Huke,1.15,1.24,17,89-72,13460,17097
Jurd,0.87,0.92,-6,72-78,10850,15802
Loony,1.3,1,0,60-60,11500,14213
Temp,1.32,1.33,23,93-70,13090,20138
Totals,1.18,1.16,54,394-340,60825,84264
Team WaR,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.95,0.9,-8,69-77,12515,15113
Dqvee,0.97,0.98,-1,65-66,10905,15184
Joshh,0.8,0.86,-11,70-81,9885,14171
Peatie,0.67,0.69,-27,61-88,10560,14858
Vortex,0.8,0.87,-11,74-85,10345,14849
Totals,0.83,0.85,-58,339-397,54210,74175
