Singularity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,0.9,1,0,60-60,9705,11684
CleanX,1.21,1.46,26,82-56,11335,15819
detain,1.11,1.08,4,56-52,8800,12800
Insight,1.02,0.87,-7,45-52,7280,11229
Keza,0.86,0.76,-12,39-51,6205,8863
Totals,1.02,1.04,11,282-271,43325,60395
Team Envy,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.64,0.63,-24,40-64,8130,11723
Assault,1.17,1.06,3,54-51,9320,13962
Decemate,1.12,1.13,7,63-56,8445,11944
Gunless,0.89,0.96,-2,54-56,8565,10985
Silly,1.14,1.11,6,60-54,8630,11572
Totals,0.98,0.96,-10,271-281,43090,60186
Singularity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,0.9,1,0,60-60,9705,11684
CleanX,1.21,1.46,26,82-56,11335,15819
detain,1.11,1.08,4,56-52,8800,12800
Insight,1.02,0.87,-7,45-52,7280,11229
Keza,0.86,0.76,-12,39-51,6205,8863
Totals,1.02,1.04,11,282-271,43325,60395
Team Envy,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.64,0.63,-24,40-64,8130,11723
Assault,1.17,1.06,3,54-51,9320,13962
Decemate,1.12,1.13,7,63-56,8445,11944
Gunless,0.89,0.96,-2,54-56,8565,10985
Silly,1.14,1.11,6,60-54,8630,11572
Totals,0.98,0.96,-10,271-281,43090,60186
Singularity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,0.9,1,0,60-60,9705,11684
CleanX,1.21,1.46,26,82-56,11335,15819
detain,1.11,1.08,4,56-52,8800,12800
Insight,1.02,0.87,-7,45-52,7280,11229
Keza,0.86,0.76,-12,39-51,6205,8863
Totals,1.02,1.04,11,282-271,43325,60395
Team Envy,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.64,0.63,-24,40-64,8130,11723
Assault,1.17,1.06,3,54-51,9320,13962
Decemate,1.12,1.13,7,63-56,8445,11944
Gunless,0.89,0.96,-2,54-56,8565,10985
Silly,1.14,1.11,6,60-54,8630,11572
Totals,0.98,0.96,-10,271-281,43090,60186
Singularity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,0.9,1,0,60-60,9705,11684
CleanX,1.21,1.46,26,82-56,11335,15819
detain,1.11,1.08,4,56-52,8800,12800
Insight,1.02,0.87,-7,45-52,7280,11229
Keza,0.86,0.76,-12,39-51,6205,8863
Totals,1.02,1.04,11,282-271,43325,60395
Team Envy,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.64,0.63,-24,40-64,8130,11723
Assault,1.17,1.06,3,54-51,9320,13962
Decemate,1.12,1.13,7,63-56,8445,11944
Gunless,0.89,0.96,-2,54-56,8565,10985
Silly,1.14,1.11,6,60-54,8630,11572
Totals,0.98,0.96,-10,271-281,43090,60186
