Elevate,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.85,0.88,-7,50-57,8190,10639
Lacefield,1.08,1.09,5,63-58,9535,14573
MRuiz,0.79,0.78,-12,43-55,7510,10238
Profeezy,1.02,1.05,3,63-60,9945,12036
Wailers,1.14,1.13,7,59-52,9655,13598
Totals,0.97,0.99,-4,278-282,44835,61084
Heretics,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
JurNii,0.86,0.85,-10,56-66,8065,13373
Lucky,1.04,1.04,2,55-53,9000,12225
MethodZsick,1.05,1.05,3,60-57,8930,14389
Mettalz,1.18,1.14,7,57-50,9085,11072
Wartex,1.02,1,0,53-53,9185,10387
Totals,1.02,1.01,2,281-279,44265,61446
Elevate,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.85,0.88,-7,50-57,8190,10639
Lacefield,1.08,1.09,5,63-58,9535,14573
MRuiz,0.79,0.78,-12,43-55,7510,10238
Profeezy,1.02,1.05,3,63-60,9945,12036
Wailers,1.14,1.13,7,59-52,9655,13598
Totals,0.97,0.99,-4,278-282,44835,61084
Heretics,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
JurNii,0.86,0.85,-10,56-66,8065,13373
Lucky,1.04,1.04,2,55-53,9000,12225
MethodZsick,1.05,1.05,3,60-57,8930,14389
Mettalz,1.18,1.14,7,57-50,9085,11072
Wartex,1.02,1,0,53-53,9185,10387
Totals,1.02,1.01,2,281-279,44265,61446
Elevate,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.85,0.88,-7,50-57,8190,10639
Lacefield,1.08,1.09,5,63-58,9535,14573
MRuiz,0.79,0.78,-12,43-55,7510,10238
Profeezy,1.02,1.05,3,63-60,9945,12036
Wailers,1.14,1.13,7,59-52,9655,13598
Totals,0.97,0.99,-4,278-282,44835,61084
Heretics,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
JurNii,0.86,0.85,-10,56-66,8065,13373
Lucky,1.04,1.04,2,55-53,9000,12225
MethodZsick,1.05,1.05,3,60-57,8930,14389
Mettalz,1.18,1.14,7,57-50,9085,11072
Wartex,1.02,1,0,53-53,9185,10387
Totals,1.02,1.01,2,281-279,44265,61446
Elevate,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.85,0.88,-7,50-57,8190,10639
Lacefield,1.08,1.09,5,63-58,9535,14573
MRuiz,0.79,0.78,-12,43-55,7510,10238
Profeezy,1.02,1.05,3,63-60,9945,12036
Wailers,1.14,1.13,7,59-52,9655,13598
Totals,0.97,0.99,-4,278-282,44835,61084
Heretics,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
JurNii,0.86,0.85,-10,56-66,8065,13373
Lucky,1.04,1.04,2,55-53,9000,12225
MethodZsick,1.05,1.05,3,60-57,8930,14389
Mettalz,1.18,1.14,7,57-50,9085,11072
Wartex,1.02,1,0,53-53,9185,10387
Totals,1.02,1.01,2,281-279,44265,61446
Elevate,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.85,0.88,-7,50-57,8190,10639
Lacefield,1.08,1.09,5,63-58,9535,14573
MRuiz,0.79,0.78,-12,43-55,7510,10238
Profeezy,1.02,1.05,3,63-60,9945,12036
Wailers,1.14,1.13,7,59-52,9655,13598
Totals,0.97,0.99,-4,278-282,44835,61084
Heretics,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
JurNii,0.86,0.85,-10,56-66,8065,13373
Lucky,1.04,1.04,2,55-53,9000,12225
MethodZsick,1.05,1.05,3,60-57,8930,14389
Mettalz,1.18,1.14,7,57-50,9085,11072
Wartex,1.02,1,0,53-53,9185,10387
Totals,1.02,1.01,2,281-279,44265,61446
