100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1.01,1.02,2,88-86,14810,18015
Kenny,0.95,0.85,-15,88-103,14340,19515
Octane,1.22,1.14,12,96-84,15295,21397
Priestahh,1.02,0.99,-1,92-93,14685,17407
Slasher,0.92,0.96,-4,86-90,12845,20750
Totals,1.02,0.99,-6,450-456,71975,97084
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.73,0.75,-27,80-107,12100,16464
Cellium,1.36,1.44,35,115-80,16375,21877
Skrapz,1.12,1.09,7,88-81,14620,20259
Zer0,0.9,0.97,-3,83-86,12330,18178
Zoomaa,0.86,0.92,-8,90-98,13705,18582
Totals,0.97,1.01,4,456-452,69130,95360
100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1.01,1.02,2,88-86,14810,18015
Kenny,0.95,0.85,-15,88-103,14340,19515
Octane,1.22,1.14,12,96-84,15295,21397
Priestahh,1.02,0.99,-1,92-93,14685,17407
Slasher,0.92,0.96,-4,86-90,12845,20750
Totals,1.02,0.99,-6,450-456,71975,97084
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.73,0.75,-27,80-107,12100,16464
Cellium,1.36,1.44,35,115-80,16375,21877
Skrapz,1.12,1.09,7,88-81,14620,20259
Zer0,0.9,0.97,-3,83-86,12330,18178
Zoomaa,0.86,0.92,-8,90-98,13705,18582
Totals,0.97,1.01,4,456-452,69130,95360
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1.01,1.02,2,88-86,14810,18015
Kenny,0.95,0.85,-15,88-103,14340,19515
Octane,1.22,1.14,12,96-84,15295,21397
Priestahh,1.02,0.99,-1,92-93,14685,17407
Slasher,0.92,0.96,-4,86-90,12845,20750
Totals,1.02,0.99,-6,450-456,71975,97084
FaZe Clan,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.73,0.75,-27,80-107,12100,16464
Cellium,1.36,1.44,35,115-80,16375,21877
Skrapz,1.12,1.09,7,88-81,14620,20259
Zer0,0.9,0.97,-3,83-86,12330,18178
Zoomaa,0.86,0.92,-8,90-98,13705,18582
Totals,0.97,1.01,4,456-452,69130,95360
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1.01,1.02,2,88-86,14810,18015
Kenny,0.95,0.85,-15,88-103,14340,19515
Octane,1.22,1.14,12,96-84,15295,21397
Priestahh,1.02,0.99,-1,92-93,14685,17407
Slasher,0.92,0.96,-4,86-90,12845,20750
Totals,1.02,0.99,-6,450-456,71975,97084
FaZe Clan,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.73,0.75,-27,80-107,12100,16464
Cellium,1.36,1.44,35,115-80,16375,21877
Skrapz,1.12,1.09,7,88-81,14620,20259
Zer0,0.9,0.97,-3,83-86,12330,18178
Zoomaa,0.86,0.92,-8,90-98,13705,18582
Totals,0.97,1.01,4,456-452,69130,95360
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1.01,1.02,2,88-86,14810,18015
Kenny,0.95,0.85,-15,88-103,14340,19515
Octane,1.22,1.14,12,96-84,15295,21397
Priestahh,1.02,0.99,-1,92-93,14685,17407
Slasher,0.92,0.96,-4,86-90,12845,20750
Totals,1.02,0.99,-6,450-456,71975,97084
FaZe Clan,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.73,0.75,-27,80-107,12100,16464
Cellium,1.36,1.44,35,115-80,16375,21877
Skrapz,1.12,1.09,7,88-81,14620,20259
Zer0,0.9,0.97,-3,83-86,12330,18178
Zoomaa,0.86,0.92,-8,90-98,13705,18582
Totals,0.97,1.01,4,456-452,69130,95360
