eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.25,1.26,20,97-77,13495,18817
Arcitys,1.09,1.11,7,68-61,12375,15522
Clayster,0.84,0.8,-17,66-83,10880,15582
Prestinni,0.64,0.73,-24,65-89,10515,14174
Simp,1.31,1.24,18,93-75,13855,19879
Totals,1.01,1.01,4,389-385,61120,83974
Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.02,1.03,2,76-74,12060,19197
Apathy,1.31,1.37,30,111-81,15170,19849
Attach,1.04,1.08,6,84-78,12420,18176
JKap,0.91,0.78,-17,61-78,9770,12819
Xotic,0.62,0.66,-27,53-80,10220,14174
Totals,0.98,0.98,-6,385-391,59640,84215
eUnited,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.25,1.26,20,97-77,13495,18817
Arcitys,1.09,1.11,7,68-61,12375,15522
Clayster,0.84,0.8,-17,66-83,10880,15582
Prestinni,0.64,0.73,-24,65-89,10515,14174
Simp,1.31,1.24,18,93-75,13855,19879
Totals,1.01,1.01,4,389-385,61120,83974
Evil Geniuses,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.02,1.03,2,76-74,12060,19197
Apathy,1.31,1.37,30,111-81,15170,19849
Attach,1.04,1.08,6,84-78,12420,18176
JKap,0.91,0.78,-17,61-78,9770,12819
Xotic,0.62,0.66,-27,53-80,10220,14174
Totals,0.98,0.98,-6,385-391,59640,84215
eUnited,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.25,1.26,20,97-77,13495,18817
Arcitys,1.09,1.11,7,68-61,12375,15522
Clayster,0.84,0.8,-17,66-83,10880,15582
Prestinni,0.64,0.73,-24,65-89,10515,14174
Simp,1.31,1.24,18,93-75,13855,19879
Totals,1.01,1.01,4,389-385,61120,83974
Evil Geniuses,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.02,1.03,2,76-74,12060,19197
Apathy,1.31,1.37,30,111-81,15170,19849
Attach,1.04,1.08,6,84-78,12420,18176
JKap,0.91,0.78,-17,61-78,9770,12819
Xotic,0.62,0.66,-27,53-80,10220,14174
Totals,0.98,0.98,-6,385-391,59640,84215
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.25,1.26,20,97-77,13495,18817
Arcitys,1.09,1.11,7,68-61,12375,15522
Clayster,0.84,0.8,-17,66-83,10880,15582
Prestinni,0.64,0.73,-24,65-89,10515,14174
Simp,1.31,1.24,18,93-75,13855,19879
Totals,1.01,1.01,4,389-385,61120,83974
Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.02,1.03,2,76-74,12060,19197
Apathy,1.31,1.37,30,111-81,15170,19849
Attach,1.04,1.08,6,84-78,12420,18176
JKap,0.91,0.78,-17,61-78,9770,12819
Xotic,0.62,0.66,-27,53-80,10220,14174
Totals,0.98,0.98,-6,385-391,59640,84215
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.25,1.26,20,97-77,13495,18817
Arcitys,1.09,1.11,7,68-61,12375,15522
Clayster,0.84,0.8,-17,66-83,10880,15582
Prestinni,0.64,0.73,-24,65-89,10515,14174
Simp,1.31,1.24,18,93-75,13855,19879
Totals,1.01,1.01,4,389-385,61120,83974
Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.02,1.03,2,76-74,12060,19197
Apathy,1.31,1.37,30,111-81,15170,19849
Attach,1.04,1.08,6,84-78,12420,18176
JKap,0.91,0.78,-17,61-78,9770,12819
Xotic,0.62,0.66,-27,53-80,10220,14174
Totals,0.98,0.98,-6,385-391,59640,84215
