Sicario Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.81,0.81,-13,57-70,10010,16000
Exceed,1.01,1.04,3,72-69,11390,15900
Linney,1.13,1.13,9,77-68,11985,14762
Proto,0.93,0.95,-4,73-77,10440,14407
Tommey,0.73,0.66,-25,49-74,8330,13571
Totals,0.92,0.92,-30,328-358,52155,74640
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.79,0.86,-10,63-73,10245,14461
Joee,1,1.03,2,68-66,9840,13172
Nolson,1.36,1.23,15,80-65,11420,15654
Rated,1.02,0.94,-4,63-67,9200,14346
Weeman,1.3,1.42,25,84-59,13135,17722
Totals,1.08,1.08,28,358-330,53840,75355
Sicario Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.81,0.81,-13,57-70,10010,16000
Exceed,1.01,1.04,3,72-69,11390,15900
Linney,1.13,1.13,9,77-68,11985,14762
Proto,0.93,0.95,-4,73-77,10440,14407
Tommey,0.73,0.66,-25,49-74,8330,13571
Totals,0.92,0.92,-30,328-358,52155,74640
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.79,0.86,-10,63-73,10245,14461
Joee,1,1.03,2,68-66,9840,13172
Nolson,1.36,1.23,15,80-65,11420,15654
Rated,1.02,0.94,-4,63-67,9200,14346
Weeman,1.3,1.42,25,84-59,13135,17722
Totals,1.08,1.08,28,358-330,53840,75355
Sicario Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.81,0.81,-13,57-70,10010,16000
Exceed,1.01,1.04,3,72-69,11390,15900
Linney,1.13,1.13,9,77-68,11985,14762
Proto,0.93,0.95,-4,73-77,10440,14407
Tommey,0.73,0.66,-25,49-74,8330,13571
Totals,0.92,0.92,-30,328-358,52155,74640
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.79,0.86,-10,63-73,10245,14461
Joee,1,1.03,2,68-66,9840,13172
Nolson,1.36,1.23,15,80-65,11420,15654
Rated,1.02,0.94,-4,63-67,9200,14346
Weeman,1.3,1.42,25,84-59,13135,17722
Totals,1.08,1.08,28,358-330,53840,75355
Sicario Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.81,0.81,-13,57-70,10010,16000
Exceed,1.01,1.04,3,72-69,11390,15900
Linney,1.13,1.13,9,77-68,11985,14762
Proto,0.93,0.95,-4,73-77,10440,14407
Tommey,0.73,0.66,-25,49-74,8330,13571
Totals,0.92,0.92,-30,328-358,52155,74640
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.79,0.86,-10,63-73,10245,14461
Joee,1,1.03,2,68-66,9840,13172
Nolson,1.36,1.23,15,80-65,11420,15654
Rated,1.02,0.94,-4,63-67,9200,14346
Weeman,1.3,1.42,25,84-59,13135,17722
Totals,1.08,1.08,28,358-330,53840,75355
