Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.38,1.28,18,82-64,11620,15029
Formal,1.1,1.03,2,77-75,11885,18549
John,0.77,0.8,-17,66-83,11400,15131
Skyz,0.9,0.86,-10,63-73,9405,13532
Slacked,1.1,0.98,-2,78-80,12410,15136
Totals,1.04,0.98,-9,366-375,56720,77377
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.01,1.01,1,78-77,11445,16167
Denz,1.15,1.27,17,80-63,12205,17551
Dylan,1.08,1.08,7,95-88,14780,19610
Wuskin,0.69,0.79,-15,56-71,10140,12227
Zed,0.88,0.97,-2,66-68,10080,13938
Totals,0.96,1.02,8,375-367,58650,79493
Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.38,1.28,18,82-64,11620,15029
Formal,1.1,1.03,2,77-75,11885,18549
John,0.77,0.8,-17,66-83,11400,15131
Skyz,0.9,0.86,-10,63-73,9405,13532
Slacked,1.1,0.98,-2,78-80,12410,15136
Totals,1.04,0.98,-9,366-375,56720,77377
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.01,1.01,1,78-77,11445,16167
Denz,1.15,1.27,17,80-63,12205,17551
Dylan,1.08,1.08,7,95-88,14780,19610
Wuskin,0.69,0.79,-15,56-71,10140,12227
Zed,0.88,0.97,-2,66-68,10080,13938
Totals,0.96,1.02,8,375-367,58650,79493
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.38,1.28,18,82-64,11620,15029
Formal,1.1,1.03,2,77-75,11885,18549
John,0.77,0.8,-17,66-83,11400,15131
Skyz,0.9,0.86,-10,63-73,9405,13532
Slacked,1.1,0.98,-2,78-80,12410,15136
Totals,1.04,0.98,-9,366-375,56720,77377
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.01,1.01,1,78-77,11445,16167
Denz,1.15,1.27,17,80-63,12205,17551
Dylan,1.08,1.08,7,95-88,14780,19610
Wuskin,0.69,0.79,-15,56-71,10140,12227
Zed,0.88,0.97,-2,66-68,10080,13938
Totals,0.96,1.02,8,375-367,58650,79493
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.38,1.28,18,82-64,11620,15029
Formal,1.1,1.03,2,77-75,11885,18549
John,0.77,0.8,-17,66-83,11400,15131
Skyz,0.9,0.86,-10,63-73,9405,13532
Slacked,1.1,0.98,-2,78-80,12410,15136
Totals,1.04,0.98,-9,366-375,56720,77377
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.01,1.01,1,78-77,11445,16167
Denz,1.15,1.27,17,80-63,12205,17551
Dylan,1.08,1.08,7,95-88,14780,19610
Wuskin,0.69,0.79,-15,56-71,10140,12227
Zed,0.88,0.97,-2,66-68,10080,13938
Totals,0.96,1.02,8,375-367,58650,79493
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.38,1.28,18,82-64,11620,15029
Formal,1.1,1.03,2,77-75,11885,18549
John,0.77,0.8,-17,66-83,11400,15131
Skyz,0.9,0.86,-10,63-73,9405,13532
Slacked,1.1,0.98,-2,78-80,12410,15136
Totals,1.04,0.98,-9,366-375,56720,77377
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.01,1.01,1,78-77,11445,16167
Denz,1.15,1.27,17,80-63,12205,17551
Dylan,1.08,1.08,7,95-88,14780,19610
Wuskin,0.69,0.79,-15,56-71,10140,12227
Zed,0.88,0.97,-2,66-68,10080,13938
Totals,0.96,1.02,8,375-367,58650,79493
