Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.92,0.84,-11,59-70,7785,14084
General,0.75,0.7,-21,50-71,8195,12367
GodRx,1.02,0.98,-1,63-64,9600,13265
Kismet,0.94,0.97,-2,66-68,10125,14104
Mayhem,0.75,0.74,-18,51-69,7110,10721
Totals,0.87,0.85,-53,289-342,42815,64541
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.12,1.19,10,62-52,11740,13531
Dashy,1.37,1.4,21,74-53,10975,14909
Karma,0.88,0.9,-6,55-61,9460,12632
Scump,1.33,1.33,20,81-61,12650,15015
TJHaly,1.05,1.13,8,70-62,10425,13821
Totals,1.15,1.18,53,342-289,55250,69908
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.92,0.84,-11,59-70,7785,14084
General,0.75,0.7,-21,50-71,8195,12367
GodRx,1.02,0.98,-1,63-64,9600,13265
Kismet,0.94,0.97,-2,66-68,10125,14104
Mayhem,0.75,0.74,-18,51-69,7110,10721
Totals,0.87,0.85,-53,289-342,42815,64541
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.12,1.19,10,62-52,11740,13531
Dashy,1.37,1.4,21,74-53,10975,14909
Karma,0.88,0.9,-6,55-61,9460,12632
Scump,1.33,1.33,20,81-61,12650,15015
TJHaly,1.05,1.13,8,70-62,10425,13821
Totals,1.15,1.18,53,342-289,55250,69908
Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.92,0.84,-11,59-70,7785,14084
General,0.75,0.7,-21,50-71,8195,12367
GodRx,1.02,0.98,-1,63-64,9600,13265
Kismet,0.94,0.97,-2,66-68,10125,14104
Mayhem,0.75,0.74,-18,51-69,7110,10721
Totals,0.87,0.85,-53,289-342,42815,64541
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.12,1.19,10,62-52,11740,13531
Dashy,1.37,1.4,21,74-53,10975,14909
Karma,0.88,0.9,-6,55-61,9460,12632
Scump,1.33,1.33,20,81-61,12650,15015
TJHaly,1.05,1.13,8,70-62,10425,13821
Totals,1.15,1.18,53,342-289,55250,69908
Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.92,0.84,-11,59-70,7785,14084
General,0.75,0.7,-21,50-71,8195,12367
GodRx,1.02,0.98,-1,63-64,9600,13265
Kismet,0.94,0.97,-2,66-68,10125,14104
Mayhem,0.75,0.74,-18,51-69,7110,10721
Totals,0.87,0.85,-53,289-342,42815,64541
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.12,1.19,10,62-52,11740,13531
Dashy,1.37,1.4,21,74-53,10975,14909
Karma,0.88,0.9,-6,55-61,9460,12632
Scump,1.33,1.33,20,81-61,12650,15015
TJHaly,1.05,1.13,8,70-62,10425,13821
Totals,1.15,1.18,53,342-289,55250,69908
