Elevate,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.85,1,0,34-34,4900,7069
Lacefield,0.99,1.11,4,42-38,5135,8249
MRuiz,0.67,0.77,-8,27-35,5125,7476
Profeezy,0.77,0.88,-5,35-40,5315,7490
Wailers,0.92,1.13,4,36-32,5160,8019
Totals,0.84,0.97,-5,174-179,25635,38303
Evil Geniuses,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.37,1.24,7,36-29,5700,8147
Apathy,0.99,0.8,-8,32-40,5415,7013
Attach,1.43,1.15,5,39-34,6190,8118
JKap,0.86,0.79,-8,30-38,5090,7074
Xotic,1.4,1.27,9,42-33,6930,8717
Totals,1.2,1.03,5,179-174,29325,39069
Elevate,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.85,1,0,34-34,4900,7069
Lacefield,0.99,1.11,4,42-38,5135,8249
MRuiz,0.67,0.77,-8,27-35,5125,7476
Profeezy,0.77,0.88,-5,35-40,5315,7490
Wailers,0.92,1.13,4,36-32,5160,8019
Totals,0.84,0.97,-5,174-179,25635,38303
Evil Geniuses,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.37,1.24,7,36-29,5700,8147
Apathy,0.99,0.8,-8,32-40,5415,7013
Attach,1.43,1.15,5,39-34,6190,8118
JKap,0.86,0.79,-8,30-38,5090,7074
Xotic,1.4,1.27,9,42-33,6930,8717
Totals,1.2,1.03,5,179-174,29325,39069
Elevate,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.85,1,0,34-34,4900,7069
Lacefield,0.99,1.11,4,42-38,5135,8249
MRuiz,0.67,0.77,-8,27-35,5125,7476
Profeezy,0.77,0.88,-5,35-40,5315,7490
Wailers,0.92,1.13,4,36-32,5160,8019
Totals,0.84,0.97,-5,174-179,25635,38303
Evil Geniuses,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.37,1.24,7,36-29,5700,8147
Apathy,0.99,0.8,-8,32-40,5415,7013
Attach,1.43,1.15,5,39-34,6190,8118
JKap,0.86,0.79,-8,30-38,5090,7074
Xotic,1.4,1.27,9,42-33,6930,8717
Totals,1.2,1.03,5,179-174,29325,39069
