eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.27,1.5,17,51-34,7385,9019
Arcitys,1.8,1.74,17,40-23,7100,9336
Clayster,0.81,0.79,-9,34-43,5080,8819
Prestinni,1.07,1.08,3,43-40,6845,9566
Simp,3.15,2.36,38,66-28,9730,11871
Totals,1.47,1.39,66,234-168,36140,48611
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.66,0.76,-11,35-46,5395,7646
Joee,0.75,0.65,-18,33-51,4620,6725
Nolson,0.58,0.7,-14,33-47,4995,7771
Rated,0.71,0.82,-8,36-44,5215,8048
Weeman,0.68,0.65,-16,30-46,4755,6883
Totals,0.68,0.71,-67,167-234,24980,37073
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.27,1.5,17,51-34,7385,9019
Arcitys,1.8,1.74,17,40-23,7100,9336
Clayster,0.81,0.79,-9,34-43,5080,8819
Prestinni,1.07,1.08,3,43-40,6845,9566
Simp,3.15,2.36,38,66-28,9730,11871
Totals,1.47,1.39,66,234-168,36140,48611
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.66,0.76,-11,35-46,5395,7646
Joee,0.75,0.65,-18,33-51,4620,6725
Nolson,0.58,0.7,-14,33-47,4995,7771
Rated,0.71,0.82,-8,36-44,5215,8048
Weeman,0.68,0.65,-16,30-46,4755,6883
Totals,0.68,0.71,-67,167-234,24980,37073
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.27,1.5,17,51-34,7385,9019
Arcitys,1.8,1.74,17,40-23,7100,9336
Clayster,0.81,0.79,-9,34-43,5080,8819
Prestinni,1.07,1.08,3,43-40,6845,9566
Simp,3.15,2.36,38,66-28,9730,11871
Totals,1.47,1.39,66,234-168,36140,48611
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.66,0.76,-11,35-46,5395,7646
Joee,0.75,0.65,-18,33-51,4620,6725
Nolson,0.58,0.7,-14,33-47,4995,7771
Rated,0.71,0.82,-8,36-44,5215,8048
Weeman,0.68,0.65,-16,30-46,4755,6883
Totals,0.68,0.71,-67,167-234,24980,37073
