Sage eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cells,0.98,1.07,5,79-74,13535,18616
GRVTY,0.72,0.89,-8,68-76,12710,15785
Hollow,1.09,1.06,5,87-82,12790,17008
Vivid,1.33,1.15,15,114-99,15400,21305
Wrecks,0.84,0.86,-12,72-84,12255,15036
Totals,1,1.01,5,420-415,66690,87750
Team Envy,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.74,0.85,-13,72-85,12120,16879
Assault,1.23,1.21,16,92-76,14930,17749
Decemate,0.82,0.86,-12,76-88,10870,17119
Gunless,1.04,0.91,-8,82-90,13985,17436
Silly,1.18,1.12,10,91-81,14115,17243
Totals,0.99,0.98,-7,413-420,66020,86426
Sage eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cells,0.98,1.07,5,79-74,13535,18616
GRVTY,0.72,0.89,-8,68-76,12710,15785
Hollow,1.09,1.06,5,87-82,12790,17008
Vivid,1.33,1.15,15,114-99,15400,21305
Wrecks,0.84,0.86,-12,72-84,12255,15036
Totals,1,1.01,5,420-415,66690,87750
Team Envy,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.74,0.85,-13,72-85,12120,16879
Assault,1.23,1.21,16,92-76,14930,17749
Decemate,0.82,0.86,-12,76-88,10870,17119
Gunless,1.04,0.91,-8,82-90,13985,17436
Silly,1.18,1.12,10,91-81,14115,17243
Totals,0.99,0.98,-7,413-420,66020,86426
Sage eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cells,0.98,1.07,5,79-74,13535,18616
GRVTY,0.72,0.89,-8,68-76,12710,15785
Hollow,1.09,1.06,5,87-82,12790,17008
Vivid,1.33,1.15,15,114-99,15400,21305
Wrecks,0.84,0.86,-12,72-84,12255,15036
Totals,1,1.01,5,420-415,66690,87750
Team Envy,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.74,0.85,-13,72-85,12120,16879
Assault,1.23,1.21,16,92-76,14930,17749
Decemate,0.82,0.86,-12,76-88,10870,17119
Gunless,1.04,0.91,-8,82-90,13985,17436
Silly,1.18,1.12,10,91-81,14115,17243
Totals,0.99,0.98,-7,413-420,66020,86426
Sage eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cells,0.98,1.07,5,79-74,13535,18616
GRVTY,0.72,0.89,-8,68-76,12710,15785
Hollow,1.09,1.06,5,87-82,12790,17008
Vivid,1.33,1.15,15,114-99,15400,21305
Wrecks,0.84,0.86,-12,72-84,12255,15036
Totals,1,1.01,5,420-415,66690,87750
Team Envy,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.74,0.85,-13,72-85,12120,16879
Assault,1.23,1.21,16,92-76,14930,17749
Decemate,0.82,0.86,-12,76-88,10870,17119
Gunless,1.04,0.91,-8,82-90,13985,17436
Silly,1.18,1.12,10,91-81,14115,17243
Totals,0.99,0.98,-7,413-420,66020,86426
Sage eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cells,0.98,1.07,5,79-74,13535,18616
GRVTY,0.72,0.89,-8,68-76,12710,15785
Hollow,1.09,1.06,5,87-82,12790,17008
Vivid,1.33,1.15,15,114-99,15400,21305
Wrecks,0.84,0.86,-12,72-84,12255,15036
Totals,1,1.01,5,420-415,66690,87750
Team Envy,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.74,0.85,-13,72-85,12120,16879
Assault,1.23,1.21,16,92-76,14930,17749
Decemate,0.82,0.86,-12,76-88,10870,17119
Gunless,1.04,0.91,-8,82-90,13985,17436
Silly,1.18,1.12,10,91-81,14115,17243
Totals,0.99,0.98,-7,413-420,66020,86426
