OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.47,1.42,22,74-52,12040,16793
Dashy,1.23,1.31,15,64-49,12305,13400
Karma,0.6,0.7,-22,51-73,8940,11537
Scump,1.3,1.12,8,73-65,12360,15027
TJHaly,1.11,1.08,6,80-74,11350,15501
Totals,1.1,1.09,29,342-313,56995,72258
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.05,1.07,5,73-68,11390,13766
Denz,0.81,0.98,-1,54-55,9370,15603
Dylan,0.86,0.82,-16,71-87,10775,15694
Wuskin,0.88,0.83,-11,52-63,9385,11048
Zed,0.9,0.89,-8,62-70,9925,13198
Totals,0.9,0.91,-31,312-343,50845,69309
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.47,1.42,22,74-52,12040,16793
Dashy,1.23,1.31,15,64-49,12305,13400
Karma,0.6,0.7,-22,51-73,8940,11537
Scump,1.3,1.12,8,73-65,12360,15027
TJHaly,1.11,1.08,6,80-74,11350,15501
Totals,1.1,1.09,29,342-313,56995,72258
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.05,1.07,5,73-68,11390,13766
Denz,0.81,0.98,-1,54-55,9370,15603
Dylan,0.86,0.82,-16,71-87,10775,15694
Wuskin,0.88,0.83,-11,52-63,9385,11048
Zed,0.9,0.89,-8,62-70,9925,13198
Totals,0.9,0.91,-31,312-343,50845,69309
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.47,1.42,22,74-52,12040,16793
Dashy,1.23,1.31,15,64-49,12305,13400
Karma,0.6,0.7,-22,51-73,8940,11537
Scump,1.3,1.12,8,73-65,12360,15027
TJHaly,1.11,1.08,6,80-74,11350,15501
Totals,1.1,1.09,29,342-313,56995,72258
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.05,1.07,5,73-68,11390,13766
Denz,0.81,0.98,-1,54-55,9370,15603
Dylan,0.86,0.82,-16,71-87,10775,15694
Wuskin,0.88,0.83,-11,52-63,9385,11048
Zed,0.9,0.89,-8,62-70,9925,13198
Totals,0.9,0.91,-31,312-343,50845,69309
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.47,1.42,22,74-52,12040,16793
Dashy,1.23,1.31,15,64-49,12305,13400
Karma,0.6,0.7,-22,51-73,8940,11537
Scump,1.3,1.12,8,73-65,12360,15027
TJHaly,1.11,1.08,6,80-74,11350,15501
Totals,1.1,1.09,29,342-313,56995,72258
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.05,1.07,5,73-68,11390,13766
Denz,0.81,0.98,-1,54-55,9370,15603
Dylan,0.86,0.82,-16,71-87,10775,15694
Wuskin,0.88,0.83,-11,52-63,9385,11048
Zed,0.9,0.89,-8,62-70,9925,13198
Totals,0.9,0.91,-31,312-343,50845,69309
