100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.88,0.78,-10,36-46,7425,9198
Kenny,1.31,1.2,8,48-40,7930,9550
Octane,1.66,1.38,16,58-42,8670,12027
Priestahh,1.16,1.35,14,54-40,8675,9820
Slasher,1.57,1.53,21,61-40,8105,11312
Totals,1.3,1.24,49,257-208,40805,51907
Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,0.68,0.7,-16,37-53,7035,9473
Apathy,0.86,0.95,-3,53-56,7295,10816
Attach,0.66,0.69,-17,38-55,5940,9623
JKap,0.84,0.77,-11,37-48,5660,9171
Xotic,0.77,0.93,-3,43-46,6890,8432
Totals,0.76,0.81,-50,208-258,32820,47515
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.88,0.78,-10,36-46,7425,9198
Kenny,1.31,1.2,8,48-40,7930,9550
Octane,1.66,1.38,16,58-42,8670,12027
Priestahh,1.16,1.35,14,54-40,8675,9820
Slasher,1.57,1.53,21,61-40,8105,11312
Totals,1.3,1.24,49,257-208,40805,51907
Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,0.68,0.7,-16,37-53,7035,9473
Apathy,0.86,0.95,-3,53-56,7295,10816
Attach,0.66,0.69,-17,38-55,5940,9623
JKap,0.84,0.77,-11,37-48,5660,9171
Xotic,0.77,0.93,-3,43-46,6890,8432
Totals,0.76,0.81,-50,208-258,32820,47515
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.88,0.78,-10,36-46,7425,9198
Kenny,1.31,1.2,8,48-40,7930,9550
Octane,1.66,1.38,16,58-42,8670,12027
Priestahh,1.16,1.35,14,54-40,8675,9820
Slasher,1.57,1.53,21,61-40,8105,11312
Totals,1.3,1.24,49,257-208,40805,51907
Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,0.68,0.7,-16,37-53,7035,9473
Apathy,0.86,0.95,-3,53-56,7295,10816
Attach,0.66,0.69,-17,38-55,5940,9623
JKap,0.84,0.77,-11,37-48,5660,9171
Xotic,0.77,0.93,-3,43-46,6890,8432
Totals,0.76,0.81,-50,208-258,32820,47515
