Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.7,0.85,-7,41-48,5845,8248
General,0.85,0.66,-16,31-47,5145,7634
GodRx,1.01,0.93,-3,39-42,6425,8159
Kismet,0.86,0.78,-11,40-51,6090,8426
Mayhem,1.25,1.03,1,40-39,5640,8756
Totals,0.91,0.84,-36,191-227,29145,41223
Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,0.91,0.98,-1,43-44,7395,9785
Formal,1.47,1.65,24,61-37,9260,12533
John,0.84,0.88,-5,36-41,7045,7897
Skyz,1.19,1.38,12,44-32,7305,8556
Slacked,1.06,1.14,5,42-37,6535,7987
Totals,1.08,1.18,35,226-191,37540,46758
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.7,0.85,-7,41-48,5845,8248
General,0.85,0.66,-16,31-47,5145,7634
GodRx,1.01,0.93,-3,39-42,6425,8159
Kismet,0.86,0.78,-11,40-51,6090,8426
Mayhem,1.25,1.03,1,40-39,5640,8756
Totals,0.91,0.84,-36,191-227,29145,41223
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,0.91,0.98,-1,43-44,7395,9785
Formal,1.47,1.65,24,61-37,9260,12533
John,0.84,0.88,-5,36-41,7045,7897
Skyz,1.19,1.38,12,44-32,7305,8556
Slacked,1.06,1.14,5,42-37,6535,7987
Totals,1.08,1.18,35,226-191,37540,46758
Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.7,0.85,-7,41-48,5845,8248
General,0.85,0.66,-16,31-47,5145,7634
GodRx,1.01,0.93,-3,39-42,6425,8159
Kismet,0.86,0.78,-11,40-51,6090,8426
Mayhem,1.25,1.03,1,40-39,5640,8756
Totals,0.91,0.84,-36,191-227,29145,41223
Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,0.91,0.98,-1,43-44,7395,9785
Formal,1.47,1.65,24,61-37,9260,12533
John,0.84,0.88,-5,36-41,7045,7897
Skyz,1.19,1.38,12,44-32,7305,8556
Slacked,1.06,1.14,5,42-37,6535,7987
Totals,1.08,1.18,35,226-191,37540,46758
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.7,0.85,-7,41-48,5845,8248
General,0.85,0.66,-16,31-47,5145,7634
GodRx,1.01,0.93,-3,39-42,6425,8159
Kismet,0.86,0.78,-11,40-51,6090,8426
Mayhem,1.25,1.03,1,40-39,5640,8756
Totals,0.91,0.84,-36,191-227,29145,41223
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,0.91,0.98,-1,43-44,7395,9785
Formal,1.47,1.65,24,61-37,9260,12533
John,0.84,0.88,-5,36-41,7045,7897
Skyz,1.19,1.38,12,44-32,7305,8556
Slacked,1.06,1.14,5,42-37,6535,7987
Totals,1.08,1.18,35,226-191,37540,46758
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.7,0.85,-7,41-48,5845,8248
General,0.85,0.66,-16,31-47,5145,7634
GodRx,1.01,0.93,-3,39-42,6425,8159
Kismet,0.86,0.78,-11,40-51,6090,8426
Mayhem,1.25,1.03,1,40-39,5640,8756
Totals,0.91,0.84,-36,191-227,29145,41223
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,0.91,0.98,-1,43-44,7395,9785
Formal,1.47,1.65,24,61-37,9260,12533
John,0.84,0.88,-5,36-41,7045,7897
Skyz,1.19,1.38,12,44-32,7305,8556
Slacked,1.06,1.14,5,42-37,6535,7987
Totals,1.08,1.18,35,226-191,37540,46758
