100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.84,0.8,-10,40-50,6455,8642
Kenny,1.2,1.17,8,55-47,7895,10510
Octane,1.99,1.68,21,52-31,8595,12621
Priestahh,1.12,1.04,2,51-49,7440,10629
Slasher,0.96,1.05,2,41-39,6910,9334
Totals,1.16,1.11,23,239-216,37295,51736
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,0.98,1.09,4,51-47,8600,10181
Denz,0.67,0.77,-10,34-44,6365,9527
Dylan,0.98,1.12,6,57-51,8195,11493
Wuskin,0.6,0.64,-18,32-50,5370,7098
Zed,0.9,0.82,-9,40-49,6905,8568
Totals,0.83,0.89,-27,214-241,35435,46867
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.84,0.8,-10,40-50,6455,8642
Kenny,1.2,1.17,8,55-47,7895,10510
Octane,1.99,1.68,21,52-31,8595,12621
Priestahh,1.12,1.04,2,51-49,7440,10629
Slasher,0.96,1.05,2,41-39,6910,9334
Totals,1.16,1.11,23,239-216,37295,51736
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,0.98,1.09,4,51-47,8600,10181
Denz,0.67,0.77,-10,34-44,6365,9527
Dylan,0.98,1.12,6,57-51,8195,11493
Wuskin,0.6,0.64,-18,32-50,5370,7098
Zed,0.9,0.82,-9,40-49,6905,8568
Totals,0.83,0.89,-27,214-241,35435,46867
100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.84,0.8,-10,40-50,6455,8642
Kenny,1.2,1.17,8,55-47,7895,10510
Octane,1.99,1.68,21,52-31,8595,12621
Priestahh,1.12,1.04,2,51-49,7440,10629
Slasher,0.96,1.05,2,41-39,6910,9334
Totals,1.16,1.11,23,239-216,37295,51736
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,0.98,1.09,4,51-47,8600,10181
Denz,0.67,0.77,-10,34-44,6365,9527
Dylan,0.98,1.12,6,57-51,8195,11493
Wuskin,0.6,0.64,-18,32-50,5370,7098
Zed,0.9,0.82,-9,40-49,6905,8568
Totals,0.83,0.89,-27,214-241,35435,46867
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.84,0.8,-10,40-50,6455,8642
Kenny,1.2,1.17,8,55-47,7895,10510
Octane,1.99,1.68,21,52-31,8595,12621
Priestahh,1.12,1.04,2,51-49,7440,10629
Slasher,0.96,1.05,2,41-39,6910,9334
Totals,1.16,1.11,23,239-216,37295,51736
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,0.98,1.09,4,51-47,8600,10181
Denz,0.67,0.77,-10,34-44,6365,9527
Dylan,0.98,1.12,6,57-51,8195,11493
Wuskin,0.6,0.64,-18,32-50,5370,7098
Zed,0.9,0.82,-9,40-49,6905,8568
Totals,0.83,0.89,-27,214-241,35435,46867
