Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.13,1.13,5,45-40,6865,10471
General,1.3,1.3,11,48-37,8590,11418
GodRx,1.44,1.14,6,49-43,7815,9665
Kismet,1.15,1.31,14,59-45,8410,10020
Mayhem,0.77,1.07,3,48-45,7025,10439
Totals,1.13,1.19,39,249-210,38705,52013
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.91,0.85,-7,39-46,5825,8696
Joee,0.88,0.77,-12,41-53,6440,8643
Nolson,0.62,0.67,-18,37-55,5465,10054
Rated,1.38,1.19,9,57-48,8170,10872
Weeman,0.68,0.77,-11,36-47,6185,8842
Totals,0.88,0.84,-39,210-249,32085,47107
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.13,1.13,5,45-40,6865,10471
General,1.3,1.3,11,48-37,8590,11418
GodRx,1.44,1.14,6,49-43,7815,9665
Kismet,1.15,1.31,14,59-45,8410,10020
Mayhem,0.77,1.07,3,48-45,7025,10439
Totals,1.13,1.19,39,249-210,38705,52013
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.91,0.85,-7,39-46,5825,8696
Joee,0.88,0.77,-12,41-53,6440,8643
Nolson,0.62,0.67,-18,37-55,5465,10054
Rated,1.38,1.19,9,57-48,8170,10872
Weeman,0.68,0.77,-11,36-47,6185,8842
Totals,0.88,0.84,-39,210-249,32085,47107
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.13,1.13,5,45-40,6865,10471
General,1.3,1.3,11,48-37,8590,11418
GodRx,1.44,1.14,6,49-43,7815,9665
Kismet,1.15,1.31,14,59-45,8410,10020
Mayhem,0.77,1.07,3,48-45,7025,10439
Totals,1.13,1.19,39,249-210,38705,52013
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.91,0.85,-7,39-46,5825,8696
Joee,0.88,0.77,-12,41-53,6440,8643
Nolson,0.62,0.67,-18,37-55,5465,10054
Rated,1.38,1.19,9,57-48,8170,10872
Weeman,0.68,0.77,-11,36-47,6185,8842
Totals,0.88,0.84,-39,210-249,32085,47107
