eUnited,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.25,1.25,13,64-51,10265,10522
Arcitys,2.15,2,34,68-34,10090,13024
Clayster,0.87,0.88,-7,50-57,9420,11226
Prestinni,0.93,1.05,3,59-56,9215,12752
Simp,1.37,1.35,17,66-49,10045,14203
Totals,1.23,1.24,60,307-247,49035,61727
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,0.56,0.66,-20,38-58,6395,10925
Dashy,1.18,0.96,-2,55-57,8305,11267
Karma,0.59,0.6,-27,40-67,6295,10665
Scump,0.96,1.07,4,59-55,8655,11570
TJHaly,0.7,0.75,-18,53-71,7300,12784
Totals,0.79,0.8,-63,245-308,36950,57211
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.25,1.25,13,64-51,10265,10522
Arcitys,2.15,2,34,68-34,10090,13024
Clayster,0.87,0.88,-7,50-57,9420,11226
Prestinni,0.93,1.05,3,59-56,9215,12752
Simp,1.37,1.35,17,66-49,10045,14203
Totals,1.23,1.24,60,307-247,49035,61727
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,0.56,0.66,-20,38-58,6395,10925
Dashy,1.18,0.96,-2,55-57,8305,11267
Karma,0.59,0.6,-27,40-67,6295,10665
Scump,0.96,1.07,4,59-55,8655,11570
TJHaly,0.7,0.75,-18,53-71,7300,12784
Totals,0.79,0.8,-63,245-308,36950,57211
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.25,1.25,13,64-51,10265,10522
Arcitys,2.15,2,34,68-34,10090,13024
Clayster,0.87,0.88,-7,50-57,9420,11226
Prestinni,0.93,1.05,3,59-56,9215,12752
Simp,1.37,1.35,17,66-49,10045,14203
Totals,1.23,1.24,60,307-247,49035,61727
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,0.56,0.66,-20,38-58,6395,10925
Dashy,1.18,0.96,-2,55-57,8305,11267
Karma,0.59,0.6,-27,40-67,6295,10665
Scump,0.96,1.07,4,59-55,8655,11570
TJHaly,0.7,0.75,-18,53-71,7300,12784
Totals,0.79,0.8,-63,245-308,36950,57211
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.25,1.25,13,64-51,10265,10522
Arcitys,2.15,2,34,68-34,10090,13024
Clayster,0.87,0.88,-7,50-57,9420,11226
Prestinni,0.93,1.05,3,59-56,9215,12752
Simp,1.37,1.35,17,66-49,10045,14203
Totals,1.23,1.24,60,307-247,49035,61727
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,0.56,0.66,-20,38-58,6395,10925
Dashy,1.18,0.96,-2,55-57,8305,11267
Karma,0.59,0.6,-27,40-67,6295,10665
Scump,0.96,1.07,4,59-55,8655,11570
TJHaly,0.7,0.75,-18,53-71,7300,12784
Totals,0.79,0.8,-63,245-308,36950,57211
