100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1,0.96,-2,55-57,8735,11503
Kenny,1.25,1.17,9,62-53,9435,12490
Octane,1.21,1.4,17,60-43,9845,13202
Priestahh,1.11,1.15,9,70-61,10060,13857
Slasher,0.7,0.76,-14,45-59,7455,11050
Totals,1.04,1.07,19,292-273,45530,62102
Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.86,0.82,-11,51-62,8065,11962
General,1.07,1.11,6,59-53,8340,11761
GodRx,1.35,1.21,11,64-53,8565,12828
Kismet,0.64,0.65,-24,44-68,7175,10838
Mayhem,1,0.98,-1,55-56,8085,12414
Totals,0.96,0.93,-19,273-292,40230,59803
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1,0.96,-2,55-57,8735,11503
Kenny,1.25,1.17,9,62-53,9435,12490
Octane,1.21,1.4,17,60-43,9845,13202
Priestahh,1.11,1.15,9,70-61,10060,13857
Slasher,0.7,0.76,-14,45-59,7455,11050
Totals,1.04,1.07,19,292-273,45530,62102
Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.86,0.82,-11,51-62,8065,11962
General,1.07,1.11,6,59-53,8340,11761
GodRx,1.35,1.21,11,64-53,8565,12828
Kismet,0.64,0.65,-24,44-68,7175,10838
Mayhem,1,0.98,-1,55-56,8085,12414
Totals,0.96,0.93,-19,273-292,40230,59803
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1,0.96,-2,55-57,8735,11503
Kenny,1.25,1.17,9,62-53,9435,12490
Octane,1.21,1.4,17,60-43,9845,13202
Priestahh,1.11,1.15,9,70-61,10060,13857
Slasher,0.7,0.76,-14,45-59,7455,11050
Totals,1.04,1.07,19,292-273,45530,62102
Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.86,0.82,-11,51-62,8065,11962
General,1.07,1.11,6,59-53,8340,11761
GodRx,1.35,1.21,11,64-53,8565,12828
Kismet,0.64,0.65,-24,44-68,7175,10838
Mayhem,1,0.98,-1,55-56,8085,12414
Totals,0.96,0.93,-19,273-292,40230,59803
