100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1.27,1.07,3,48-45,7245,9643
Kenny,1.22,1.19,8,50-42,7585,9430
Octane,0.91,0.95,-2,38-40,6185,9910
Priestahh,1.2,1.18,7,47-40,7070,10225
Slasher,1.69,1.66,27,68-41,9120,12192
Totals,1.26,1.21,43,251-208,37205,51400
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,0.8,0.85,-8,44-52,6165,10006
Dashy,0.94,0.84,-8,42-50,6615,9492
Karma,0.57,0.69,-15,34-49,6115,8496
Scump,1.04,1.07,3,48-45,7380,8657
TJHaly,0.64,0.73,-15,40-55,6205,10117
Totals,0.79,0.83,-43,208-251,32480,46768
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1.27,1.07,3,48-45,7245,9643
Kenny,1.22,1.19,8,50-42,7585,9430
Octane,0.91,0.95,-2,38-40,6185,9910
Priestahh,1.2,1.18,7,47-40,7070,10225
Slasher,1.69,1.66,27,68-41,9120,12192
Totals,1.26,1.21,43,251-208,37205,51400
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,0.8,0.85,-8,44-52,6165,10006
Dashy,0.94,0.84,-8,42-50,6615,9492
Karma,0.57,0.69,-15,34-49,6115,8496
Scump,1.04,1.07,3,48-45,7380,8657
TJHaly,0.64,0.73,-15,40-55,6205,10117
Totals,0.79,0.83,-43,208-251,32480,46768
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1.27,1.07,3,48-45,7245,9643
Kenny,1.22,1.19,8,50-42,7585,9430
Octane,0.91,0.95,-2,38-40,6185,9910
Priestahh,1.2,1.18,7,47-40,7070,10225
Slasher,1.69,1.66,27,68-41,9120,12192
Totals,1.26,1.21,43,251-208,37205,51400
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,0.8,0.85,-8,44-52,6165,10006
Dashy,0.94,0.84,-8,42-50,6615,9492
Karma,0.57,0.69,-15,34-49,6115,8496
Scump,1.04,1.07,3,48-45,7380,8657
TJHaly,0.64,0.73,-15,40-55,6205,10117
Totals,0.79,0.83,-43,208-251,32480,46768
