100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.94,0.88,-10,73-83,11865,16432
Kenny,0.95,0.93,-5,70-75,11655,15356
Octane,1.1,1.27,17,81-64,12900,17206
Priestahh,1,0.91,-7,70-77,12155,15487
Slasher,0.72,0.86,-11,68-79,9640,15760
Totals,0.94,0.96,-16,362-378,58215,80241
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.2,1.23,16,86-70,11570,15643
Arcitys,1.03,1.08,5,68-63,12210,15477
Clayster,0.97,0.96,-3,79-82,11405,15774
Prestinni,0.89,0.86,-11,66-77,10315,13762
Simp,1.25,1.08,6,78-72,12875,16156
Totals,1.06,1.04,13,377-364,58375,76812
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.94,0.88,-10,73-83,11865,16432
Kenny,0.95,0.93,-5,70-75,11655,15356
Octane,1.1,1.27,17,81-64,12900,17206
Priestahh,1,0.91,-7,70-77,12155,15487
Slasher,0.72,0.86,-11,68-79,9640,15760
Totals,0.94,0.96,-16,362-378,58215,80241
eUnited,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.2,1.23,16,86-70,11570,15643
Arcitys,1.03,1.08,5,68-63,12210,15477
Clayster,0.97,0.96,-3,79-82,11405,15774
Prestinni,0.89,0.86,-11,66-77,10315,13762
Simp,1.25,1.08,6,78-72,12875,16156
Totals,1.06,1.04,13,377-364,58375,76812
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.94,0.88,-10,73-83,11865,16432
Kenny,0.95,0.93,-5,70-75,11655,15356
Octane,1.1,1.27,17,81-64,12900,17206
Priestahh,1,0.91,-7,70-77,12155,15487
Slasher,0.72,0.86,-11,68-79,9640,15760
Totals,0.94,0.96,-16,362-378,58215,80241
eUnited,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.2,1.23,16,86-70,11570,15643
Arcitys,1.03,1.08,5,68-63,12210,15477
Clayster,0.97,0.96,-3,79-82,11405,15774
Prestinni,0.89,0.86,-11,66-77,10315,13762
Simp,1.25,1.08,6,78-72,12875,16156
Totals,1.06,1.04,13,377-364,58375,76812
100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.94,0.88,-10,73-83,11865,16432
Kenny,0.95,0.93,-5,70-75,11655,15356
Octane,1.1,1.27,17,81-64,12900,17206
Priestahh,1,0.91,-7,70-77,12155,15487
Slasher,0.72,0.86,-11,68-79,9640,15760
Totals,0.94,0.96,-16,362-378,58215,80241
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.2,1.23,16,86-70,11570,15643
Arcitys,1.03,1.08,5,68-63,12210,15477
Clayster,0.97,0.96,-3,79-82,11405,15774
Prestinni,0.89,0.86,-11,66-77,10315,13762
Simp,1.25,1.08,6,78-72,12875,16156
Totals,1.06,1.04,13,377-364,58375,76812
100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.94,0.88,-10,73-83,11865,16432
Kenny,0.95,0.93,-5,70-75,11655,15356
Octane,1.1,1.27,17,81-64,12900,17206
Priestahh,1,0.91,-7,70-77,12155,15487
Slasher,0.72,0.86,-11,68-79,9640,15760
Totals,0.94,0.96,-16,362-378,58215,80241
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.2,1.23,16,86-70,11570,15643
Arcitys,1.03,1.08,5,68-63,12210,15477
Clayster,0.97,0.96,-3,79-82,11405,15774
Prestinni,0.89,0.86,-11,66-77,10315,13762
Simp,1.25,1.08,6,78-72,12875,16156
Totals,1.06,1.04,13,377-364,58375,76812
