Mazer Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apox,0.78,0.87,-9,59-68,10270,12683
Jetli,0.86,1.04,3,79-76,10875,15957
mosh,0.87,0.81,-14,58-72,10705,13780
Parzelion,1.06,1.01,1,72-71,10250,16878
SpaceLy,1.28,1.15,11,86-75,10585,17022
Totals,0.97,0.98,-8,354-362,52685,76320
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,1.07,0.96,-3,72-75,12220,16060
Joee,1.2,1.15,11,86-75,11775,16126
Nolson,1.16,1.07,5,75-70,11425,15726
Rated,0.98,1.13,9,77-68,11420,15744
Weeman,0.68,0.75,-17,52-69,10025,15601
Totals,1.02,1.01,5,362-357,56865,79257
Mazer Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apox,0.78,0.87,-9,59-68,10270,12683
Jetli,0.86,1.04,3,79-76,10875,15957
mosh,0.87,0.81,-14,58-72,10705,13780
Parzelion,1.06,1.01,1,72-71,10250,16878
SpaceLy,1.28,1.15,11,86-75,10585,17022
Totals,0.97,0.98,-8,354-362,52685,76320
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,1.07,0.96,-3,72-75,12220,16060
Joee,1.2,1.15,11,86-75,11775,16126
Nolson,1.16,1.07,5,75-70,11425,15726
Rated,0.98,1.13,9,77-68,11420,15744
Weeman,0.68,0.75,-17,52-69,10025,15601
Totals,1.02,1.01,5,362-357,56865,79257
Mazer Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apox,0.78,0.87,-9,59-68,10270,12683
Jetli,0.86,1.04,3,79-76,10875,15957
mosh,0.87,0.81,-14,58-72,10705,13780
Parzelion,1.06,1.01,1,72-71,10250,16878
SpaceLy,1.28,1.15,11,86-75,10585,17022
Totals,0.97,0.98,-8,354-362,52685,76320
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,1.07,0.96,-3,72-75,12220,16060
Joee,1.2,1.15,11,86-75,11775,16126
Nolson,1.16,1.07,5,75-70,11425,15726
Rated,0.98,1.13,9,77-68,11420,15744
Weeman,0.68,0.75,-17,52-69,10025,15601
Totals,1.02,1.01,5,362-357,56865,79257
Mazer Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apox,0.78,0.87,-9,59-68,10270,12683
Jetli,0.86,1.04,3,79-76,10875,15957
mosh,0.87,0.81,-14,58-72,10705,13780
Parzelion,1.06,1.01,1,72-71,10250,16878
SpaceLy,1.28,1.15,11,86-75,10585,17022
Totals,0.97,0.98,-8,354-362,52685,76320
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,1.07,0.96,-3,72-75,12220,16060
Joee,1.2,1.15,11,86-75,11775,16126
Nolson,1.16,1.07,5,75-70,11425,15726
Rated,0.98,1.13,9,77-68,11420,15744
Weeman,0.68,0.75,-17,52-69,10025,15601
Totals,1.02,1.01,5,362-357,56865,79257
Mazer Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apox,0.78,0.87,-9,59-68,10270,12683
Jetli,0.86,1.04,3,79-76,10875,15957
mosh,0.87,0.81,-14,58-72,10705,13780
Parzelion,1.06,1.01,1,72-71,10250,16878
SpaceLy,1.28,1.15,11,86-75,10585,17022
Totals,0.97,0.98,-8,354-362,52685,76320
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,1.07,0.96,-3,72-75,12220,16060
Joee,1.2,1.15,11,86-75,11775,16126
Nolson,1.16,1.07,5,75-70,11425,15726
Rated,0.98,1.13,9,77-68,11420,15744
Weeman,0.68,0.75,-17,52-69,10025,15601
Totals,1.02,1.01,5,362-357,56865,79257
