Animosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cookie,0.92,0.95,-3,57-60,8110,12642
Pazy,0.94,0.94,-4,67-71,9115,12096
Phantom,0.85,0.73,-19,51-70,7550,11885
Piero,0.57,0.59,-28,40-68,7135,9502
Sharko,0.47,0.54,-32,37-69,6000,9764
Totals,0.75,0.75,-86,252-338,37910,55889
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.95,1.05,3,60-57,8860,12421
Cellium,1.81,1.73,36,85-49,13430,14930
Skrapz,1.35,1.32,15,62-47,10165,13743
Zer0,1.76,1.61,28,74-46,9930,13440
Zoomaa,0.96,1.08,4,57-53,9135,10853
Totals,1.33,1.34,86,338-252,51520,65387
Animosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cookie,0.92,0.95,-3,57-60,8110,12642
Pazy,0.94,0.94,-4,67-71,9115,12096
Phantom,0.85,0.73,-19,51-70,7550,11885
Piero,0.57,0.59,-28,40-68,7135,9502
Sharko,0.47,0.54,-32,37-69,6000,9764
Totals,0.75,0.75,-86,252-338,37910,55889
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.95,1.05,3,60-57,8860,12421
Cellium,1.81,1.73,36,85-49,13430,14930
Skrapz,1.35,1.32,15,62-47,10165,13743
Zer0,1.76,1.61,28,74-46,9930,13440
Zoomaa,0.96,1.08,4,57-53,9135,10853
Totals,1.33,1.34,86,338-252,51520,65387
Animosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cookie,0.92,0.95,-3,57-60,8110,12642
Pazy,0.94,0.94,-4,67-71,9115,12096
Phantom,0.85,0.73,-19,51-70,7550,11885
Piero,0.57,0.59,-28,40-68,7135,9502
Sharko,0.47,0.54,-32,37-69,6000,9764
Totals,0.75,0.75,-86,252-338,37910,55889
FaZe Clan,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.95,1.05,3,60-57,8860,12421
Cellium,1.81,1.73,36,85-49,13430,14930
Skrapz,1.35,1.32,15,62-47,10165,13743
Zer0,1.76,1.61,28,74-46,9930,13440
Zoomaa,0.96,1.08,4,57-53,9135,10853
Totals,1.33,1.34,86,338-252,51520,65387
Animosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cookie,0.92,0.95,-3,57-60,8110,12642
Pazy,0.94,0.94,-4,67-71,9115,12096
Phantom,0.85,0.73,-19,51-70,7550,11885
Piero,0.57,0.59,-28,40-68,7135,9502
Sharko,0.47,0.54,-32,37-69,6000,9764
Totals,0.75,0.75,-86,252-338,37910,55889
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.95,1.05,3,60-57,8860,12421
Cellium,1.81,1.73,36,85-49,13430,14930
Skrapz,1.35,1.32,15,62-47,10165,13743
Zer0,1.76,1.61,28,74-46,9930,13440
Zoomaa,0.96,1.08,4,57-53,9135,10853
Totals,1.33,1.34,86,338-252,51520,65387
