Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,0.68,-8,17-25,3210,4125,39
Jetli,1.58,11,30-19,3870,5391,30
MRuiz,0.78,-4,14-18,2290,3062,60
Profeezy,0.88,-2,14-16,3355,3796,77
Skyz,0.8,-4,16-20,2730,4591,17
Totals,0.93,-7,91-98,15455,20965,223
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1,0,17-17,3515,4783,104
Aqua,0.74,-5,14-19,3385,3368,85
Jurd,0.83,-4,19-23,2820,3592,42
Loony,1,0,20-20,2850,4413,43
Temp,2.33,16,28-12,4305,5212,60
Totals,1.08,7,98-91,16875,21368,334
Excelerate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,2,5,10-5,1530,2324,0:0
Jetli,1,0,8-8,1240,1246,1:3
MRuiz,0.88,-1,7-8,1295,1635,2:0
Profeezy,0.71,-2,5-7,1000,1200,1:2
Skyz,1.14,1,8-7,1225,1402,1:0
Totals,1.09,3,38-35,6290,7807,5:5
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.75,-2,6-8,875,1426,1:0
Aqua,0.5,-4,4-8,615,877,0:0
Jurd,0.56,-4,5-9,975,1059,1:2
Loony,1.29,2,9-7,1210,2275,2:1
Temp,1.43,3,10-7,1450,2713,1:2
Totals,0.87,-5,34-39,5125,8350,5:5
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,0.89,-2,16-18,3080,4195,1:0
Jetli,0.5,-17,17-34,2950,3769,0:1
MRuiz,0.81,-3,13-16,2495,3408,0:0
Profeezy,0.52,-11,12-23,2300,2957,0:1
Skyz,1.23,3,16-13,2300,3769,0:1
Totals,0.71,-30,74-104,13125,18098,1:3
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,2.09,12,23-11,3215,4522,1:0
Aqua,1.36,5,19-14,3585,4369,0:0
Jurd,1.19,3,19-16,4060,4555,1:0
Loony,1.83,10,22-12,3495,3776,1:1
Temp,1,0,21-21,3625,5111,0:0
Totals,1.41,30,104-74,17980,22333,3:1
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,0.87,-3,20-23,3505,3951,69
Jetli,1.18,4,26-22,3455,4926,60
MRuiz,0.65,-8,15-23,2685,3370,36
Profeezy,0.84,-3,16-19,2255,3086,31
Skyz,0.95,-1,18-19,3735,4554,90
Totals,0.9,-11,95-106,15635,19887,286
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.78,-4,14-18,2645,3438,87
Aqua,0.95,-1,18-19,2425,3778,44
Jurd,1.33,6,24-18,4415,5380,93
Loony,0.74,-6,17-23,3100,3446,64
Temp,1.88,15,32-17,4495,5527,59
Totals,1.11,10,105-95,17080,21569,347
