Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1,0,21-21,3765,4233,85
Formal,1.17,3,21-18,3940,4671,73
Gunless,1.15,3,23-20,4100,5891,54
John,1,0,21-21,3485,4666,64
Slacked,0.9,-2,19-21,3580,4009,94
Totals,1.04,4,105-101,18870,23470,370
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.77,-5,17-22,3170,3888,38
Lacefield,1,0,22-22,4270,4397,54
LlamaGod,0.81,-4,17-21,2750,4128,73
Parasite,1.14,3,24-21,4080,5222,67
Saints,1.11,2,21-19,3825,4730,107
Totals,0.96,-4,101-105,18095,22365,339
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.14,1,8-7,1150,1681,1:3
Formal,0.71,-2,5-7,925,967,0:1
Gunless,2,5,10-5,1275,1705,1:1
John,0.38,-5,3-8,775,1100,0:2
Slacked,1.17,1,7-6,1375,1463,0:0
Totals,1,0,33-33,5500,6916,2:7
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.57,-3,4-7,695,1017,1:2
Lacefield,0.83,-1,5-6,1115,1268,1:0
LlamaGod,0.63,-3,5-8,925,1639,1:0
Parasite,1.5,3,9-6,1200,1798,3:0
Saints,1.5,3,9-6,1025,1498,1:0
Totals,0.97,-1,32-33,4960,7220,7:2
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.67,-8,16-24,3765,4231,0:1
Formal,1.05,1,22-21,4020,5439,2:0
Gunless,1.17,4,28-24,5425,6814,0:1
John,1.15,3,23-20,3895,3911,1:0
Slacked,0.9,-2,18-20,3750,4326,0:0
Totals,0.98,-2,107-109,20855,24721,3:2
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.04,1,29-28,4075,5790,1:1
Lacefield,1,0,22-22,3575,5075,0:1
LlamaGod,0.5,-10,10-20,2900,3450,0:0
Parasite,1.65,11,28-17,5395,5522,1:1
Saints,0.95,-1,20-21,3850,4399,0:0
Totals,1.01,1,109-108,19795,24236,2:3
