OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.48,-14,13-27,2795,4272,62
Dashy,1,0,23-23,4055,4681,67
Karma,0.79,-5,19-24,3440,3425,51
Scump,1.14,3,25-22,4050,4442,45
TJHaly,1,0,26-26,3825,5495,26
Totals,0.87,-16,106-122,18165,22315,251
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1.57,12,33-21,4690,5742,24
Apathy,0.79,-4,15-19,3270,3362,103
Assault,1.65,13,33-20,4865,6782,52
Huke,1,0,25-25,3980,5084,29
Silly,0.68,-7,15-22,3385,3241,111
Totals,1.13,14,121-107,20190,24211,319
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.33,-4,2-6,385,596,0:0
Dashy,0.29,-5,2-7,350,1153,0:1
Karma,0.67,-2,4-6,555,774,1:1
Scump,0.67,-2,4-6,720,894,0:1
TJHaly,0.43,-4,3-7,650,1242,0:3
Totals,0.47,-17,15-32,2660,4659,1:6
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.33,1,4-3,875,1060,1:0
Apathy,0.67,-2,4-6,980,730,1:1
Assault,8,7,8-1,1400,1283,2:0
Huke,5,8,10-2,1475,1961,1:0
Silly,2,3,6-3,1350,1260,1:0
Totals,2.13,17,32-15,6080,6294,6:1
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.67,10,25-15,3760,5438,1:1
Dashy,2.13,17,32-15,5110,5385,0:0
Karma,0.89,-2,16-18,3000,4063,1:0
Scump,0.77,-5,17-22,3050,4573,0:0
TJHaly,0.87,-3,20-23,3550,3951,0:1
Totals,1.18,17,110-93,18470,23410,2:2
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.7,-6,14-20,2765,4742,0:1
Apathy,0.71,-7,17-24,2840,3566,0:0
Assault,1.22,4,22-18,3435,4967,2:0
Huke,0.91,-2,21-23,2775,4733,0:1
Silly,0.76,-6,19-25,3470,3849,0:0
Totals,0.85,-17,93-110,15285,21857,2:2
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.17,5,34-29,5020,6366,22
Dashy,0.74,-9,26-35,4590,5775,52
Karma,0.94,-2,29-31,4880,5961,68
Scump,0.93,-2,28-30,4650,5849,97
TJHaly,1.03,1,31-30,5145,7677,121
Totals,0.95,-7,148-155,24285,31628,360
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1.34,10,39-29,6170,7244,53
Apathy,1.1,3,33-30,5160,6162,54
Assault,1.04,1,28-27,4250,5520,82
Huke,0.87,-4,27-31,4645,5200,91
Silly,0.9,-3,28-31,4815,6153,70
Totals,1.05,7,155-148,25040,30279,350
