Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.24,6,31-25,5615,6952,75
Lucky,1.21,5,29-24,4115,5509,63
MethodZsick,0.85,-3,17-20,3235,4873,66
Mettalz,0.61,-12,19-31,3945,4475,48
Sukry,1.24,5,26-21,3630,5705,51
Totals,1.01,1,122-121,20540,27514,303
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Knight,0.62,-10,16-26,2845,3575,63
Mayhem,1.35,8,31-23,4260,5676,43
Methodz,1.17,4,27-23,4635,6247,81
Parzelion,1.1,2,23-21,4100,5886,82
Proto,0.83,-5,24-29,3800,4706,39
Totals,0.99,-1,121-122,19640,26090,308
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.13,-7,1-8,615,828,0:2
Lucky,1.14,1,8-7,1175,2189,2:1
MethodZsick,0.88,-1,7-8,1025,1573,1:0
Mettalz,0.57,-3,4-7,560,1070,0:1
Sukry,1,0,7-7,1050,2341,2:1
Totals,0.73,-10,27-37,4425,8001,5:5
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,1,0,5-5,1230,1523,0:3
Mayhem,1.2,1,6-5,1375,1786,1:1
Methodz,4,12,16-4,2010,2514,3:0
Parzelion,0.43,-4,3-7,800,1072,1:0
Proto,1,0,7-7,1000,1123,0:1
Totals,1.32,9,37-28,6415,8018,5:5
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.82,-4,18-22,4020,4160,0:0
Lucky,0.96,-1,23-24,4650,5353,0:1
MethodZsick,0.91,-2,20-22,3575,4799,0:0
Mettalz,0.77,-5,17-22,3760,3814,0:0
Sukry,0.83,-4,19-23,4000,4748,1:2
Totals,0.86,-16,97-113,20005,22874,1:3
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,1.15,3,23-20,4480,4378,0:1
Mayhem,1.42,8,27-19,4400,5406,1:0
Methodz,1.17,3,21-18,3495,5061,0:0
Parzelion,1.06,1,19-18,3125,4563,2:0
Proto,1.05,1,23-22,4175,4755,0:0
Totals,1.16,16,113-97,19675,24163,3:1
