Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.67,-8,16-24,2710,4041,48
Formal,1.57,8,22-14,4560,4898,107
Gunless,1.44,8,26-18,3640,4581,51
John,0.63,-9,15-24,2700,3433,31
Slacked,0.78,-5,18-23,3100,3951,48
Totals,0.94,-6,97-103,16710,20904,285
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.7,-6,14-20,2575,3196,104
Aqua,0.86,-3,18-21,3115,4389,56
Jurd,1.42,8,27-19,3420,4451,60
Loony,1.28,5,23-18,3560,4091,46
Temp,1.11,2,21-19,3975,4951,72
Totals,1.06,6,103-97,16645,21078,338
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.25,-6,2-8,300,770,0:0
Formal,1,0,7-7,1000,1669,2:1
Gunless,0.5,-4,4-8,525,1007,1:1
John,1,0,7-7,1450,1439,1:0
Slacked,0.29,-5,2-7,725,721,0:2
Totals,0.59,-15,22-37,4000,5606,4:4
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.8,-1,4-5,900,1538,1:0
Aqua,3.33,7,10-3,1665,1835,0:0
Jurd,0.67,-2,4-6,750,728,0:3
Loony,1,0,5-5,700,895,0:1
Temp,3.25,9,13-4,2100,2169,3:0
Totals,1.57,13,36-23,6115,7165,4:4
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.44,-9,7-16,1975,2193,1:0
Formal,1.82,9,20-11,3135,3790,1:0
Gunless,0.86,-2,12-14,1875,2166,1:0
John,1.53,8,23-15,3545,3811,0:0
Slacked,1.21,3,17-14,2275,3677,0:0
Totals,1.13,9,79-70,12805,15637,3:0
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1,0,16-16,2565,3606,0:0
Aqua,0.73,-4,11-15,2665,2664,0:1
Jurd,0.94,-1,17-18,3100,4006,0:0
Loony,0.94,-1,15-16,2500,2555,0:1
Temp,0.79,-3,11-14,1950,2711,0:1
Totals,0.89,-9,70-79,12780,15542,0:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.81,-5,21-26,3590,4385,19
Formal,1.09,2,24-22,3665,5441,15
Gunless,0.95,-1,19-20,2890,3605,69
John,0.87,-3,20-23,2655,3717,13
Slacked,0.78,-5,18-23,3545,4127,31
Totals,0.89,-12,102-114,16345,21275,147
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.6,12,32-20,4620,5562,36
Aqua,0.79,-4,15-19,3405,3034,96
Jurd,0.88,-3,21-24,3375,3715,34
Loony,0.9,-2,19-21,3975,4828,90
Temp,1.44,8,26-18,4515,5949,68
Totals,1.11,11,113-102,19890,23088,324
