Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Attach,1.33,7,28-21,4985,5351,87
Felony,0.83,-5,24-29,3970,4955,48
Goonjar,1.1,2,23-21,3610,5739,68
Royalty,0.72,-7,18-25,3195,4568,89
Xotic,1.22,5,28-23,4350,5460,74
Totals,1.02,2,121-119,20110,26073,366
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.5,-13,13-26,2520,4147,41
Joee,0.96,-1,25-26,4240,4617,54
Rated,0.91,-2,20-22,3915,5471,85
Skrapz,1.9,18,38-20,5180,6482,82
Zer0,0.85,-4,23-27,3490,5064,55
Totals,0.98,-2,119-121,19345,25781,317
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Attach,0.86,-1,6-7,1100,1532,0:1
Felony,1,0,6-6,825,1369,0:1
Goonjar,0.43,-4,3-7,425,1239,1:1
Royalty,0.67,-2,4-6,425,1158,1:1
Xotic,1,0,7-7,1075,1523,0:3
Totals,0.79,-7,26-33,3850,6821,2:7
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,2,5,10-5,1625,1833,1:0
Joee,2,4,8-4,1505,1679,2:0
Rated,1,0,5-5,705,1397,0:0
Skrapz,0.86,-1,6-7,775,1316,3:2
Zer0,0.38,-5,3-8,600,1106,1:0
Totals,1.1,3,32-29,5210,7331,7:2
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Attach,1.16,4,29-25,5225,7075,0:0
Felony,0.52,-14,15-29,2605,3834,0:1
Goonjar,0.71,-7,17-24,3000,5511,0:1
Royalty,0.79,-6,22-28,3350,5165,0:0
Xotic,1.1,3,32-29,4925,6502,1:1
Totals,0.85,-20,115-135,19105,28087,1:3
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.37,7,26-19,4495,5566,1:0
Joee,0.79,-6,22-28,3815,4692,1:1
Rated,1.39,7,25-18,4625,6007,0:0
Skrapz,1.46,11,35-24,5930,8236,1:0
Zer0,1,0,27-27,4450,6114,0:0
Totals,1.16,19,135-116,23315,30615,3:1
