Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Chino,0.89,-2,17-19,3150,3515,38
Diabolic,0.74,-5,14-19,2505,3427,65
Frosty,0.74,-6,17-23,2685,3218,16
General,0.64,-8,14-22,3025,3648,47
Kismet,0.48,-11,10-21,2100,2972,22
Totals,0.69,-32,72-104,13465,16780,188
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.93,-1,14-15,2750,3354,18
Joee,1.92,11,23-12,4705,4565,66
Rated,1.46,6,19-13,3305,3218,96
Skrapz,1.71,10,24-14,4175,4774,105
Zer0,1.33,6,24-18,4195,4572,70
Totals,1.44,32,104-72,19130,20483,355
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,1,0,7-7,975,1672,1:2
Diabolic,0.5,-3,3-6,875,851,0:1
Frosty,0.71,-2,5-7,815,966,1:1
General,1.38,3,11-8,1325,2989,1:1
Kismet,1.43,3,10-7,1400,1523,1:1
Totals,1.03,1,36-35,5390,8001,4:6
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.5,-4,4-8,1225,1190,0:1
Joee,0.44,-5,4-9,615,1023,3:2
Rated,0.57,-3,4-7,765,1257,0:0
Skrapz,2,6,12-6,2045,2468,2:1
Zer0,1.38,3,11-8,1350,2127,1:0
Totals,0.92,-3,35-38,6000,8065,6:4
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,0.84,-3,16-19,3275,4379,0:0
Diabolic,1.05,1,23-22,3150,4015,2:0
Frosty,0.9,-2,18-20,3530,4172,1:0
General,1.44,8,26-18,4270,5383,0:0
Kismet,1.33,7,28-21,4325,5838,0:2
Totals,1.11,11,111-100,18550,23787,3:2
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.68,-7,15-22,3825,3376,0:0
Joee,0.75,-6,18-24,3550,3438,0:1
Rated,0.78,-5,18-23,3735,4639,0:0
Skrapz,1.56,10,28-18,4550,6167,1:1
Zer0,0.83,-4,20-24,2900,4373,1:1
Totals,0.89,-12,99-111,18560,21993,2:3
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Chino,0.62,-8,13-21,2465,2945,50
Diabolic,0.9,-2,19-21,2815,3908,13
Frosty,0.3,-16,7-23,1840,2718,38
General,0.5,-11,11-22,1835,3189,17
Kismet,0.86,-3,19-22,2805,4365,36
Totals,0.63,-40,69-109,11760,17125,154
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,1,0,14-14,2590,3081,85
Joee,1.82,9,20-11,3645,3306,35
Rated,5.33,26,32-6,5065,5113,138
Skrapz,1.67,10,25-15,4130,4930,74
Zer0,0.78,-5,18-23,3250,3734,48
Totals,1.58,40,109-69,18680,20164,380
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,2.4,7,12-5,1945,2160,1:0
Diabolic,0.38,-5,3-8,850,661,0:2
Frosty,0.71,-2,5-7,800,1118,0:0
General,1.5,3,9-6,1440,2016,1:1
Kismet,1.43,3,10-7,1655,1720,2:3
Totals,1.18,6,39-33,6690,7675,4:6
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.71,-2,5-7,1300,1534,1:1
Joee,0.5,-4,4-8,1510,877,1:2
Rated,1,0,7-7,955,1853,1:1
Skrapz,0.67,-3,6-9,725,1216,2:0
Zer0,1.38,3,11-8,1400,2067,1:0
Totals,0.85,-6,33-39,5890,7547,6:4
