eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.96,-1,25-26,4015,5357,38
Arcitys,0.64,-9,16-25,3140,4606,45
Clayster,0.58,-10,14-24,2025,3672,44
JKap,0.95,-1,21-22,3270,3916,49
Prestinni,0.71,-7,17-24,3290,3576,22
Totals,0.77,-28,93-121,15740,21127,198
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.15,3,23-20,4010,5642,37
Dashy,1.5,9,27-18,4795,5794,109
Karma,2.13,18,34-16,4230,5902,57
Scump,0.89,-2,16-18,3365,3352,98
TJHaly,0.95,-1,20-21,3245,5073,47
Totals,1.29,27,120-93,19645,25763,348
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.11,1,10-9,1375,1434,0:1
Arcitys,0.89,-1,8-9,1115,1905,1:2
Clayster,0.89,-1,8-9,1440,2379,1:2
JKap,0.44,-5,4-9,1070,1181,0:1
Prestinni,1.22,2,11-9,2175,2096,2:1
Totals,0.91,-4,41-45,7175,8995,4:7
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.63,5,13-8,1860,3119,3:0
Dashy,1.5,4,12-8,2050,2689,1:1
Karma,1.43,3,10-7,1650,2581,1:2
Scump,0.56,-4,5-9,1255,983,0:1
TJHaly,0.44,-5,4-9,675,1029,2:0
Totals,1.07,3,44-41,7490,10401,7:4
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1,0,14-14,2000,2657,0:0
Arcitys,0.4,-9,6-15,1500,2288,0:0
Clayster,0.27,-11,4-15,905,1319,0:2
JKap,0.47,-8,7-15,1465,2179,0:0
Prestinni,0.75,-4,12-16,1925,2141,0:1
Totals,0.57,-32,43-75,7795,10584,0:3
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.75,6,14-8,2475,2930,1:0
Dashy,1.18,2,13-11,2400,2641,1:0
Karma,2.71,12,19-7,2825,2775,0:0
Scump,1.88,7,15-8,2890,3061,0:0
TJHaly,1.56,5,14-9,2870,2954,1:0
Totals,1.74,32,75-43,13460,14361,3:0
