Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.52,11,32-21,4620,5307,76
Natshay,0.96,-1,22-23,4800,5414,106
Rizk,1.09,2,25-23,4100,5277,81
Wailers,0.85,-3,17-20,3295,4850,29
Zeeked,0.52,-10,11-21,2600,2937,74
Totals,0.99,-1,107-108,19415,23785,366
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1,0,23-23,3360,4805,44
Lucky,1.26,5,24-19,4095,5768,72
MethodZsick,0.9,-2,18-20,3630,4997,86
Mettalz,0.81,-4,17-21,3405,3602,56
Sukry,1.08,2,26-24,3755,5180,43
Totals,1.01,1,108-107,18245,24352,301
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.75,3,7-4,1190,1721,1:1
Natshay,2.33,4,7-3,1000,1135,1:0
Rizk,0.6,-2,3-5,625,883,0:1
Wailers,1.25,1,5-4,1450,1820,2:0
Zeeked,4,6,8-2,1585,1431,1:1
Totals,1.67,12,30-18,5850,6990,5:3
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.13,-7,1-8,415,645,0:3
Lucky,0.83,-1,5-6,600,1697,2:1
MethodZsick,0.67,-2,4-6,650,1125,0:1
Mettalz,1.2,1,6-5,1115,944,1:0
Sukry,0.33,-4,2-6,300,653,0:0
Totals,0.58,-13,18-31,3080,5064,3:5
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.73,-4,11-15,1500,2192,1:0
Natshay,0.8,-3,12-15,2185,3065,0:0
Rizk,0.25,-12,4-16,1000,1516,0:1
Wailers,0.75,-3,9-12,1265,1586,0:1
Zeeked,0.27,-11,4-15,950,1550,0:0
Totals,0.55,-33,40-73,6900,9909,1:2
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.67,6,15-9,3320,2998,0:0
Lucky,1.14,1,8-7,2275,2259,0:1
MethodZsick,1.33,3,12-9,1825,2412,1:0
Mettalz,2.83,11,17-6,3305,2742,0:0
Sukry,2.22,11,20-9,3275,2705,1:0
Totals,1.8,32,72-40,14000,13116,2:1
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.94,15,31-16,4720,5679,91
Natshay,2,12,24-12,3730,4367,84
Rizk,1.47,8,25-17,3920,5107,61
Wailers,0.94,-1,15-16,3545,3661,91
Zeeked,0.75,-4,12-16,2445,2635,87
Totals,1.39,30,107-77,18360,21449,414
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.89,-2,17-19,3290,4107,57
Lucky,0.6,-10,15-25,2075,3043,42
MethodZsick,0.68,-6,13-19,1975,3223,13
Mettalz,0.64,-8,14-22,2205,3780,37
Sukry,0.82,-4,18-22,2815,3509,53
Totals,0.72,-30,77-107,12360,17662,202
