Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.57,8,22-14,4130,4826,96
Seany,1.07,1,15-14,3290,3043,118
Tommey,0.9,-2,18-20,2890,4137,64
Wuskin,2,13,26-13,4235,4424,93
Zed,1.6,9,24-15,3300,3908,56
Totals,1.38,29,105-76,17845,20338,427
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.58,-10,14-24,1815,3435,20
Apathy,0.7,-6,14-20,2265,3001,31
Assault,0.55,-9,11-20,2695,3387,22
Huke,0.76,-5,16-21,2700,3962,18
Silly,1,0,20-20,3170,4520,47
Totals,0.71,-30,75-105,12645,18305,138
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.33,2,8-6,1390,1626,3:1
Seany,0.83,-1,5-6,1250,1341,2:1
Tommey,2.33,4,7-3,1050,1451,0:1
Wuskin,0.67,-2,4-6,825,1193,0:0
Zed,1,0,7-7,1150,1558,0:1
Totals,1.11,3,31-28,5665,7169,5:4
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.33,-4,2-6,350,1068,0:2
Apathy,1,0,6-6,1405,1194,1:2
Assault,0.67,-2,4-6,675,1656,0:0
Huke,1.71,5,12-7,1875,2370,2:0
Silly,0.67,-2,4-6,925,969,1:1
Totals,0.9,-3,28-31,5230,7257,4:5
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.3,7,30-23,5130,5708,0:2
Seany,1.27,6,28-22,5075,5580,0:1
Tommey,1.03,1,30-29,4525,5616,0:1
Wuskin,0.73,-7,19-26,3900,4672,0:0
Zed,1.08,2,28-26,4325,5317,0:1
Totals,1.07,9,135-126,22955,26893,0:5
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.6,-12,18-30,3635,5259,1:0
Apathy,0.81,-5,21-26,3570,5013,1:0
Assault,0.96,-1,26-27,4625,5380,2:0
Huke,1.48,12,37-25,5285,6566,1:0
Silly,0.89,-3,24-27,4250,4992,0:0
Totals,0.93,-9,126-135,21365,27210,5:0
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.08,2,26-24,3695,4839,41
Seany,0.62,-8,13-21,2620,3408,29
Tommey,1.04,1,24-23,3300,4887,63
Wuskin,0.86,-3,19-22,3735,4503,54
Zed,0.92,-2,22-24,3625,4528,65
Totals,0.91,-10,104-114,16975,22165,252
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1,0,23-23,3555,4379,66
Apathy,0.65,-8,15-23,3160,3958,25
Assault,1.21,3,17-14,4215,4581,177
Huke,1.45,10,32-22,4565,5671,29
Silly,1.23,5,27-22,4770,4772,33
Totals,1.1,10,114-104,20265,23361,330
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.8,-2,8-10,1455,2014,3:0
Seany,1.38,3,11-8,1375,2622,1:0
Tommey,1.13,1,9-8,1225,2066,1:0
Wuskin,0.5,-4,4-8,425,1401,1:4
Zed,1,0,7-7,1475,1037,0:1
Totals,0.95,-2,39-41,5955,9140,6:5
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.6,-4,6-10,925,1418,0:1
Apathy,0.89,-1,8-9,1470,1919,1:0
Assault,0.86,-1,6-7,1025,1669,1:1
Huke,1.38,3,11-8,1800,1577,3:4
Silly,1.5,3,9-6,1885,1717,0:0
Totals,1,0,40-40,7105,8300,5:6
