Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Chino,1,0,24-24,4860,4487,137
Diabolic,0.78,-6,21-27,4065,4509,84
Frosty,2.15,23,43-20,6035,6890,48
General,0.84,-5,27-32,4855,6014,39
Kismet,1.15,4,31-27,5580,5905,105
Totals,1.12,16,146-130,25395,27805,413
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,0.87,-4,26-30,4915,5146,76
Seany,1.07,2,29-27,4605,4942,39
Tommey,0.83,-5,24-29,4260,6539,76
Wuskin,0.86,-4,25-29,4010,4680,48
Zed,0.84,-5,26-31,3945,4681,72
Totals,0.89,-16,130-146,21735,25988,311
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,3.5,5,7-2,1400,1557,1:0
Diabolic,0.75,-1,3-4,825,905,0:0
Frosty,2,5,10-5,1510,1714,0:1
General,8,7,8-1,1150,1427,1:0
Kismet,1.17,1,7-6,1305,1164,2:3
Totals,1.94,17,35-18,6190,6767,4:4
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.29,-5,2-7,380,462,0:0
Seany,0.25,-6,2-8,375,876,0:1
Tommey,0.5,-3,3-6,325,1197,0:1
Wuskin,0.86,-1,6-7,725,997,2:1
Zed,0.71,-2,5-7,1050,1232,2:1
Totals,0.51,-17,18-35,2855,4764,4:4
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,1.05,1,22-21,3565,4310,1:0
Diabolic,1.1,2,22-20,3175,4222,0:0
Frosty,0.8,-4,16-20,3230,3862,0:0
General,1.61,11,29-18,4855,4968,1:0
Kismet,0.73,-7,19-26,4275,5010,2:0
Totals,1.03,3,108-105,19100,22372,4:0
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1,0,21-21,3735,4509,0:0
Seany,1,0,19-19,3125,3453,0:0
Tommey,0.8,-5,20-25,3300,4470,0:3
Wuskin,1.39,7,25-18,4100,4747,0:1
Zed,0.68,-8,17-25,2850,3812,0:0
Totals,0.94,-6,102-108,17110,20991,0:4
