Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.57,13,36-23,5815,6364,110
Havok,1.03,1,30-29,5650,6096,72
MajorManiak,0.75,-7,21-28,3640,4203,50
Maux,1.04,1,24-23,4560,5803,58
Nagafen,1.28,7,32-25,5430,6206,97
Totals,1.12,15,143-128,25095,28672,387
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.66,-11,21-32,4195,5409,59
Formal,0.82,-5,23-28,4280,5408,95
Gunless,0.97,-1,28-29,4530,5727,96
John,0.96,-1,26-27,5365,5781,47
Slacked,0.97,-1,28-29,4735,5378,56
Totals,0.87,-19,126-145,23105,27703,353
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.75,-2,6-8,875,1143,3:1
Havok,0.63,-3,5-8,995,1010,1:1
MajorManiak,1.33,2,8-6,1150,1399,0:1
Maux,0.25,-6,2-8,500,967,0:0
Nagafen,0.57,-3,4-7,1125,734,0:1
Totals,0.68,-12,25-37,4645,5253,4:4
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.6,3,8-5,1565,1774,1:1
Formal,4,9,12-3,2000,1707,1:0
Gunless,1.33,2,8-6,1475,1869,0:1
John,0.67,-2,4-6,725,655,1:1
Slacked,1,0,5-5,1340,1362,1:1
Totals,1.48,12,37-25,7105,7367,4:4
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.14,3,24-21,4025,3856,1:0
Havok,0.76,-5,16-21,2675,3117,0:1
MajorManiak,0.73,-6,16-22,3075,4327,0:1
Maux,1.3,3,13-10,3395,3267,0:0
Nagafen,0.53,-9,10-19,2460,3355,1:0
Totals,0.85,-14,79-93,15630,17922,2:2
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.5,8,24-16,5315,6067,0:1
Formal,0.81,-3,13-16,3100,3313,0:0
Gunless,1.27,4,19-15,3260,3276,2:1
John,1.67,10,25-15,4335,3953,0:0
Slacked,0.71,-5,12-17,2775,3696,0:0
Totals,1.18,14,93-79,18785,20305,2:2
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.87,-4,27-31,4370,5758,75
Havok,1.28,7,32-25,5690,5084,114
MajorManiak,1.1,3,32-29,4660,5488,33
Maux,1,0,25-25,4135,6047,40
Nagafen,0.93,-2,28-30,5375,6287,111
Totals,1.03,4,144-140,24230,28664,373
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.84,-5,26-31,4640,5346,73
Formal,0.96,-1,27-28,4985,6033,43
Gunless,1.15,4,31-27,5370,7083,52
John,0.76,-8,25-33,4930,5539,42
Slacked,1.24,6,31-25,4760,4817,99
Totals,0.97,-4,140-144,24685,28818,309
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.29,-5,2-7,280,822,0:3
Havok,0.71,-2,5-7,640,1189,1:0
MajorManiak,0.71,-2,5-7,600,1077,0:0
Maux,0.29,-5,2-7,425,1278,0:1
Nagafen,0.43,-4,3-7,825,877,1:1
Totals,0.49,-18,17-35,2770,5243,2:5
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.8,-1,4-5,1100,1089,1:0
Formal,0.6,-2,3-5,775,832,1:2
Gunless,8,7,8-1,1210,2026,1:0
John,3,6,9-3,1500,1892,2:0
Slacked,3.33,7,10-3,1215,894,0:0
Totals,2,17,34-17,5800,6733,5:2
