Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.13,3,27-24,3825,5172,54
Lacefield,0.78,-5,18-23,3485,4518,50
LlamaGod,0.75,-6,18-24,3640,4617,56
Parasite,1.27,6,28-22,4340,5913,54
Saints,0.62,-10,16-26,3410,4435,110
Totals,0.9,-12,107-119,18700,24655,324
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Knight,1.23,5,27-22,4470,5450,72
Mayhem,0.87,-3,20-23,3600,4546,13
Methodz,1.1,2,23-21,4520,5376,103
Parzelion,1.47,8,25-17,3335,4705,81
Proto,1,0,24-24,4155,5060,90
Totals,1.11,12,119-107,20080,25137,359
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.33,2,8-6,1025,1579,1:1
Lacefield,0.75,-2,6-8,875,1533,1:1
LlamaGod,0.83,-1,5-6,1125,946,0:0
Parasite,0.71,-2,5-7,825,1433,1:1
Saints,0.86,-1,6-7,975,1626,1:1
Totals,0.88,-4,30-34,4825,7117,4:4
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,0.67,-2,4-6,640,880,0:1
Mayhem,1.29,2,9-7,1425,2457,2:0
Methodz,0.67,-2,4-6,850,1903,0:2
Parzelion,2.25,5,9-4,1600,1910,1:0
Proto,1.14,1,8-7,1340,1617,1:1
Totals,1.13,4,34-30,5855,8767,4:4
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.67,-6,12-18,2475,3838,0:0
Lacefield,0.82,-3,14-17,2370,2871,1:0
LlamaGod,0.39,-11,7-18,1525,1642,1:1
Parasite,0.78,-4,14-18,2425,2551,0:0
Saints,1.25,4,20-16,2950,3527,0:0
Totals,0.77,-20,67-87,11745,14429,2:1
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,1.64,7,18-11,3295,3446,0:0
Mayhem,1.27,4,19-15,3075,3690,0:0
Methodz,1.08,1,13-12,3045,3124,0:0
Parzelion,1.7,7,17-10,3380,3882,0:0
Proto,1.05,1,20-19,3375,3566,1:2
Totals,1.3,20,87-67,16170,17708,1:2
