Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.54,-11,13-24,2430,3711,35
Natshay,0.9,-2,18-20,2520,3741,26
Rizk,0.68,-6,13-19,2290,3696,20
Wailers,1.2,3,18-15,2415,4089,15
Zeeked,0.95,-1,18-19,3035,3675,40
Totals,0.82,-17,80-97,12690,18912,136
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.67,8,20-12,3080,4434,124
Aqua,1.27,4,19-15,3070,3910,75
Jurd,0.86,-3,18-21,2640,3610,18
Loony,1.47,8,25-17,3880,4582,77
Temp,1,0,15-15,2845,3788,47
Totals,1.21,17,97-80,15515,20324,341
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.13,-7,1-8,810,1145,0:1
Natshay,1.2,1,6-5,1050,1280,2:2
Rizk,1.75,3,7-4,1250,1419,1:1
Wailers,2.6,8,13-5,1675,1768,2:0
Zeeked,1,0,6-6,1695,1863,0:0
Totals,1.18,5,33-28,6480,7475,5:4
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.88,-1,7-8,950,1855,1:0
Aqua,0.83,-1,5-6,765,1135,1:1
Jurd,1.17,1,7-6,850,1380,0:1
Loony,0.5,-4,4-8,740,910,1:0
Temp,0.6,-2,3-5,400,1190,1:3
Totals,0.79,-7,26-33,3705,6470,4:5
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1,0,17-17,2800,2681,0:0
Natshay,0.5,-8,8-16,2050,2023,0:0
Rizk,0.47,-9,8-17,1275,2146,0:1
Wailers,0.82,-3,14-17,1990,3411,1:0
Zeeked,0.94,-1,15-16,2670,3172,0:1
Totals,0.75,-21,62-83,10785,13433,1:2
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.4,4,14-10,2885,3577,0:0
Aqua,0.77,-3,10-13,3160,2437,1:0
Jurd,1.2,3,18-15,3200,3672,0:0
Loony,1.36,4,15-11,3410,2469,1:0
Temp,2,13,26-13,4235,5405,0:1
Totals,1.34,21,83-62,16890,17560,2:1
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.15,3,23-20,4110,5062,58
Natshay,0.94,-1,15-16,3115,3258,83
Rizk,1.8,12,27-15,4175,4552,97
Wailers,1.39,7,25-18,3665,4790,48
Zeeked,0.89,-2,16-18,3505,4041,98
Totals,1.22,19,106-87,18570,21703,384
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.57,-10,13-23,2065,3060,98
Aqua,0.65,-7,13-20,1840,3576,13
Jurd,1.5,9,27-18,4105,5290,44
Loony,0.73,-6,16-22,2445,3803,56
Temp,0.78,-5,18-23,2945,4652,41
Totals,0.82,-19,87-106,13400,20381,252
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.71,-2,5-7,755,1247,1:2
Natshay,1.67,4,10-6,1150,1081,2:1
Rizk,1.38,3,11-8,1750,2180,3:0
Wailers,1.17,1,7-6,1415,2284,1:0
Zeeked,0.63,-3,5-8,1550,2234,0:0
Totals,1.09,3,38-35,6620,9026,7:3
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.63,-3,5-8,650,1834,0:1
Aqua,1.43,3,10-7,1230,2198,0:0
Jurd,0.38,-5,3-8,690,998,2:4
Loony,0.78,-2,7-9,1500,1670,0:1
Temp,1.5,3,9-6,1725,2165,1:1
Totals,0.89,-4,34-38,5795,8865,3:7
