Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.15,4,31-27,4110,5430,39
Lacefield,0.56,-11,14-25,2605,3660,59
LlamaGod,0.95,-1,21-22,3785,4713,74
Parasite,1.04,1,25-24,4755,6300,46
Saints,0.84,-4,21-25,3585,4612,52
Totals,0.91,-11,112-123,18840,24715,270
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.48,-13,12-25,2905,3643,99
Aqua,1.29,5,22-17,4920,5063,102
Jurd,1.33,8,32-24,5110,5116,93
Loony,0.85,-4,23-27,4520,4449,47
Temp,1.79,15,34-19,4925,7077,64
Totals,1.1,11,123-112,22380,25348,405
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1,0,7-7,1275,1726,1:1
Lacefield,1,0,7-7,1040,1361,2:2
LlamaGod,0.43,-4,3-7,550,1158,1:0
Parasite,2,5,10-5,1720,2048,1:1
Saints,3.67,8,11-3,1775,1856,0:0
Totals,1.31,9,38-29,6360,8149,5:4
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.44,-5,4-9,400,889,1:2
Aqua,0.71,-2,5-7,900,1411,0:0
Jurd,0.88,-1,7-8,1250,1559,2:1
Loony,0.71,-2,5-7,1140,1437,0:1
Temp,1.14,1,8-7,1175,1815,1:1
Totals,0.76,-9,29-38,4865,7111,4:5
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.47,-8,7-15,975,1982,0:0
Lacefield,0.73,-3,8-11,1430,1873,0:0
LlamaGod,0.67,-5,10-15,1500,2310,0:0
Parasite,0.5,-6,6-12,1150,1932,1:2
Saints,0.27,-11,4-15,525,1021,0:0
Totals,0.51,-33,35-68,5580,9118,1:2
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,3,10,15-5,1920,2872,1:0
Aqua,1.57,4,11-7,2440,2580,0:0
Jurd,2.33,8,14-6,2300,2550,0:0
Loony,1.67,4,10-6,2005,2194,0:0
Temp,1.33,4,16-12,2375,2886,1:1
Totals,1.83,30,66-36,11040,13082,2:1
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.97,-1,29-30,4290,6143,44
Lacefield,0.8,-4,16-20,3580,4050,70
LlamaGod,1.21,5,29-24,4390,5395,86
Parasite,1.37,7,26-19,4065,5275,111
Saints,1.04,1,26-25,3685,5182,72
Totals,1.07,8,126-118,20010,26045,383
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.64,14,36-22,5455,6656,84
Aqua,0.92,-2,23-25,3875,5064,33
Jurd,1.04,1,26-25,4735,5681,84
Loony,0.52,-12,13-25,2365,2754,63
Temp,0.69,-9,20-29,3395,5083,33
Totals,0.94,-8,118-126,19825,25238,297
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.71,-2,5-7,975,1546,2:2
Lacefield,0.75,-2,6-8,975,1748,1:1
LlamaGod,0.88,-1,7-8,1125,1684,0:0
Parasite,1.29,2,9-7,1400,2059,1:2
Saints,1.33,2,8-6,1125,1414,0:0
Totals,0.97,-1,35-36,5600,8451,4:5
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1,0,8-8,1100,2170,3:1
Aqua,0.86,-1,6-7,875,1782,0:1
Jurd,1,0,8-8,1300,2071,2:0
Loony,1.8,4,9-5,1220,1413,0:1
Temp,0.63,-3,5-8,1250,1353,0:1
Totals,1,0,36-36,5745,8789,5:4
