Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,0.62,-8,13-21,1795,3302,29
Jetli,0.55,-10,12-22,2345,3131,45
MRuiz,1.07,1,16-15,2880,3689,40
Profeezy,0.65,-6,11-17,2255,2468,60
Skyz,1.18,3,20-17,3170,4053,57
Totals,0.78,-20,72-92,12445,16643,231
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.57,8,22-14,3220,4625,57
Lucky,1.56,5,14-9,3285,3328,171
MethodZsick,1,0,16-16,2505,3227,67
Mettalz,1.31,5,21-16,3215,4278,36
Sukry,1.12,2,19-17,2910,4157,38
Totals,1.28,20,92-72,15135,19615,369
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,0.67,-2,4-6,600,1384,1:2
Jetli,0.88,-1,7-8,1000,1310,1:1
MRuiz,1.83,5,11-6,1685,2117,2:0
Profeezy,0.33,-4,2-6,650,849,0:1
Skyz,0.38,-5,3-8,575,1589,1:0
Totals,0.79,-7,27-34,4510,7249,5:4
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.67,-2,4-6,1175,707,1:1
Lucky,0.8,-1,4-5,775,1388,1:2
MethodZsick,0.57,-3,4-7,730,992,0:0
Mettalz,1.6,3,8-5,1200,1790,1:1
Sukry,3.5,10,14-4,2200,2739,1:1
Totals,1.26,7,34-27,6080,7616,4:5
Excelerate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.69,9,22-13,4100,4124,1:0
Jetli,1,0,16-16,2950,3704,0:0
MRuiz,1,0,14-14,2880,3159,0:0
Profeezy,1.42,5,17-12,3570,3618,0:1
Skyz,1.5,5,15-10,3435,3406,1:0
Totals,1.29,19,84-65,16935,18011,2:1
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.84,-3,16-19,2485,3762,0:0
Lucky,0.77,-3,10-13,1850,3517,1:1
MethodZsick,1,0,17-17,2375,3206,0:0
Mettalz,0.63,-6,10-16,1825,2958,0:1
Sukry,0.63,-7,12-19,1875,2919,0:0
Totals,0.77,-19,65-84,10410,16362,1:2
Excelerate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.17,4,27-23,4295,5379,74
Jetli,0.9,-2,19-21,3645,4282,54
MRuiz,1.18,4,26-22,4210,5135,86
Profeezy,1.15,3,23-20,4125,4888,97
Skyz,1.4,8,28-20,4425,6053,84
Totals,1.16,17,123-106,20700,25737,395
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.69,-8,18-26,3565,4848,56
Lucky,0.81,-4,17-21,3205,4853,93
MethodZsick,0.9,-3,26-29,4300,4969,58
Mettalz,1.04,1,24-23,3880,4798,80
Sukry,0.83,-4,20-24,3975,4642,88
Totals,0.85,-18,105-123,18925,24110,375
Excelerate,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1,1.05,3,66-63,10790,14189
Jetli,0.83,0.81,-13,54-67,9940,12427
MRuiz,1.3,1.18,10,67-57,11655,14100
Profeezy,0.85,0.96,-2,53-55,10600,11823
Skyz,0.99,1.2,11,66-55,11605,15101
Totals,0.99,1.03,9,306-297,54590,67640
Heretics,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
JurNii,0.87,0.92,-5,60-65,10445,13942
Lucky,0.9,0.94,-3,45-48,9115,13086
MethodZsick,0.85,0.91,-6,63-69,9910,12394
Mettalz,1.12,1.05,3,63-60,10120,13824
Sukry,1.33,1.02,1,65-64,10960,14457
Totals,1.01,0.97,-10,296-306,50550,67703
