100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.63,-7,12-19,2380,3205,37
Kenny,1.5,9,27-18,3950,4206,91
Octane,2.08,14,27-13,4035,5243,93
Priestahh,1.08,2,26-24,4685,5295,65
Slasher,1.16,3,22-19,3600,4244,102
Totals,1.23,21,114-93,18650,22193,388
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.95,-1,21-22,3160,4625,36
Arcitys,1.29,5,22-17,3750,4746,86
Clayster,0.78,-5,18-23,3335,3928,28
JKap,0.73,-6,16-22,2120,2792,42
Prestinni,0.53,-14,16-30,3005,4801,30
Totals,0.82,-21,93-114,15370,20892,222
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.43,3,10-7,1470,2150,0:0
Kenny,0.78,-2,7-9,1275,1588,2:1
Octane,2.4,7,12-5,1850,2052,1:2
Priestahh,0.5,-4,4-8,1080,852,0:2
Slasher,1,0,8-8,1600,2092,1:2
Totals,1.11,4,41-37,7275,8734,4:7
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.6,-4,6-10,1350,1907,1:0
Arcitys,1.25,2,10-8,1350,2694,3:1
Clayster,0.75,-2,6-8,1375,2220,1:1
JKap,1,0,7-7,1450,955,0:0
Prestinni,1,0,8-8,1125,1566,2:2
Totals,0.9,-4,37-41,6650,9342,7:4
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.56,-8,10-18,1640,2617,0:0
Kenny,1.14,2,16-14,2715,3708,0:1
Octane,1.08,1,14-13,2375,4323,0:0
Priestahh,0.67,-6,12-18,2200,2750,0:1
Slasher,0.56,-8,10-18,1600,2367,0:1
Totals,0.77,-19,62-81,10530,15765,0:3
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.27,4,19-15,3300,4155,1:0
Arcitys,1.75,6,14-8,2325,2768,1:0
Clayster,1.08,1,14-13,2175,2957,0:0
JKap,1.3,3,13-10,2245,2331,0:0
Prestinni,1.31,5,21-16,3050,4316,1:0
Totals,1.31,19,81-62,13095,16527,3:0
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.7,-6,14-20,2920,3828,60
Kenny,1.11,2,20-18,3810,4534,43
Octane,2.23,16,29-13,4740,4898,142
Priestahh,1.1,2,22-20,3210,4721,52
Slasher,1.05,1,21-20,3820,4748,78
Totals,1.16,15,106-91,18500,22729,375
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.9,-2,19-21,3670,4693,76
Arcitys,0.59,-9,13-22,2230,4056,54
Clayster,0.86,-3,18-21,3005,4629,57
JKap,0.86,-3,18-21,3160,4097,57
Prestinni,1.1,2,23-21,3630,4172,43
Totals,0.86,-15,91-106,15695,21647,287
