Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.83,-4,20-24,3635,3644,127
Joee,1.9,18,38-20,5385,6180,68
Rated,0.78,-5,18-23,3810,4899,46
Skrapz,1.08,2,26-24,4845,5884,46
Zer0,1.17,4,28-24,4325,5222,77
Totals,1.13,15,130-115,22000,25829,364
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.43,-16,12-28,2500,4377,38
Apathy,0.88,-3,23-26,3560,3842,69
Assault,0.96,-1,25-26,3115,5486,44
Huke,1.33,8,32-24,4830,6579,81
Silly,0.88,-3,23-26,4105,4743,57
Totals,0.88,-15,115-130,18110,25027,289
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.29,2,9-7,1650,1945,1:1
Joee,0.8,-2,8-10,1630,1607,2:1
Rated,0.63,-3,5-8,860,1648,1:4
Skrapz,0.88,-1,7-8,1275,1829,0:1
Zer0,1,0,8-8,1475,1125,0:0
Totals,0.9,-4,37-41,6890,8154,4:7
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.43,3,10-7,1400,2843,0:1
Apathy,0.57,-3,4-7,1425,1196,1:2
Assault,1.14,1,8-7,1525,1832,4:0
Huke,1.14,1,8-7,1100,1370,1:1
Silly,1.11,1,10-9,1615,2133,1:0
Totals,1.08,3,40-37,7065,9374,7:4
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.74,14,33-19,5905,7189,2:0
Joee,0.71,-9,22-31,4255,5013,1:1
Rated,0.88,-3,21-24,4765,6140,0:0
Skrapz,0.86,-4,24-28,5175,5921,1:0
Zer0,1.58,14,38-24,6200,6832,0:0
Totals,1.1,12,138-126,26300,31095,4:1
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.1,3,33-30,5185,8008,0:1
Apathy,0.66,-10,19-29,3790,4789,1:1
Assault,0.71,-6,15-21,3075,5493,0:0
Huke,1.09,3,36-33,5025,6537,0:1
Silly,0.92,-2,23-25,4605,4910,0:1
Totals,0.91,-12,126-138,21680,29737,1:4
