Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.91,-2,20-22,3785,4742,38
Havok,1.05,1,20-19,3785,4205,76
MajorManiak,1.73,11,26-15,3830,4774,72
Maux,0.71,-5,12-17,3280,4859,61
Nagafen,1.75,12,28-16,4650,4449,113
Totals,1.19,17,106-89,19330,23029,360
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.38,-15,9-24,1420,4079,28
Dashy,1.12,2,19-17,3110,3691,99
Karma,0.67,-8,16-24,2040,4091,25
Scump,1.1,2,22-20,3195,3997,35
TJHaly,1.1,2,23-21,3360,5268,42
Totals,0.84,-17,89-106,13125,21126,229
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.88,-1,7-8,1165,1714,0:1
Havok,1.13,1,9-8,1545,1947,1:3
MajorManiak,0.71,-2,5-7,775,1325,0:1
Maux,0.63,-3,5-8,1050,1702,1:0
Nagafen,0.78,-2,7-9,1480,1488,2:1
Totals,0.83,-7,33-40,6015,8176,4:6
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1,0,7-7,1000,1940,1:0
Dashy,1.29,2,9-7,1175,2049,1:1
Karma,1,0,8-8,1025,1660,2:0
Scump,0.75,-2,6-8,800,901,0:2
TJHaly,2,4,8-4,1200,1854,2:1
Totals,1.12,4,38-34,5200,8404,6:4
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.88,-3,21-24,3475,4722,0:1
Havok,0.77,-5,17-22,3075,3614,1:1
MajorManiak,1.08,2,26-24,4195,5218,0:0
Maux,1.05,1,23-22,3345,4516,0:1
Nagafen,1.22,4,22-18,4075,4911,1:0
Totals,0.99,-1,109-110,18165,22981,2:3
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.28,5,23-18,4260,5366,0:0
Dashy,1.42,8,27-19,4350,5058,0:1
Karma,0.81,-4,17-21,3100,3659,2:0
Scump,0.67,-9,18-27,2950,3764,1:0
TJHaly,1,0,24-24,4200,5260,0:1
Totals,1,0,109-109,18860,23107,3:2
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.11,3,30-27,5590,5414,59
Havok,0.76,-6,19-25,3895,4745,36
MajorManiak,0.83,-5,25-30,4215,4836,27
Maux,1.3,7,30-23,3930,5138,49
Nagafen,0.57,-13,17-30,3640,4764,62
Totals,0.9,-14,121-135,21270,24897,233
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.77,-5,17-22,3705,5273,90
Dashy,1.3,7,30-23,4905,5955,80
Karma,0.92,-2,24-26,3280,5090,39
Scump,1.18,5,33-28,5390,6047,58
TJHaly,1.41,9,31-22,5090,6054,126
Totals,1.12,14,135-121,22370,28419,393
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.14,1,8-7,1305,1151,1:2
Havok,0.88,-1,7-8,1160,1346,2:2
MajorManiak,0.75,-2,6-8,925,1543,1:1
Maux,2,5,10-5,1815,2154,0:0
Nagafen,0.71,-2,5-7,1430,1235,1:0
Totals,1.03,1,36-35,6635,7429,5:5
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.63,-3,5-8,775,1449,1:1
Dashy,0.86,-1,6-7,850,1117,0:2
Karma,0.71,-2,5-7,575,1767,1:1
Scump,1,0,7-7,1480,1353,2:0
TJHaly,1.43,3,10-7,1425,2076,1:1
Totals,0.92,-3,33-36,5105,7762,5:5
