Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.14,3,24-21,4370,4957,99
Lucky,1.17,3,21-18,4490,5425,114
MethodZsick,0.96,-1,23-24,4005,4495,67
Mettalz,0.78,-5,18-23,3450,4254,75
Sukry,1.5,10,30-20,5395,5964,69
Totals,1.09,10,116-106,21710,25095,424
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.76,-5,16-21,3790,5095,42
Apathy,1,0,26-26,4295,5047,37
Assault,0.65,-8,15-23,3260,3715,104
Huke,0.88,-3,22-25,4105,5081,34
Silly,1.23,5,27-22,5070,4848,89
Totals,0.91,-11,106-117,20520,23786,306
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,2,6,12-6,2310,1724,1:0
Lucky,1,0,5-5,1075,1209,1:1
MethodZsick,0.67,-2,4-6,1040,1129,1:0
Mettalz,1.43,3,10-7,1550,1846,4:2
Sukry,1.86,6,13-7,2335,2716,0:1
Totals,1.42,13,44-31,8310,8624,7:4
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1,0,10-10,1250,2486,1:0
Apathy,1.29,2,9-7,1345,1444,2:2
Assault,0.5,-4,4-8,800,1322,0:1
Huke,0.27,-8,3-11,775,1287,1:3
Silly,0.5,-5,5-10,1200,997,0:1
Totals,0.67,-15,31-46,5370,7536,4:7
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.82,-3,14-17,2320,3181,0:0
Lucky,0.81,-3,13-16,2300,3225,0:0
MethodZsick,1,0,17-17,2660,3254,0:1
Mettalz,0.56,-8,10-18,1975,2660,0:2
Sukry,1.22,4,22-18,2495,5336,0:0
Totals,0.88,-10,76-86,11750,17656,0:3
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.31,4,17-13,2750,3546,0:0
Apathy,1,0,17-17,3210,3203,0:0
Assault,1.29,4,18-14,3025,4032,0:0
Huke,1.06,1,18-17,3425,3278,3:0
Silly,1.07,1,16-15,3370,3878,0:0
Totals,1.13,10,86-76,15780,17937,3:0
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.36,8,30-22,4895,5270,67
Lucky,1.21,5,29-24,4945,5815,101
MethodZsick,0.67,-8,16-24,3030,3224,35
Mettalz,1.52,11,32-21,4855,5845,98
Sukry,1.04,1,25-24,4350,5147,64
Totals,1.15,17,132-115,22075,25301,365
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.79,-6,22-28,3625,5144,15
Apathy,0.61,-11,17-28,3245,4447,47
Assault,0.88,-3,21-24,3405,4697,66
Huke,1.27,7,33-26,4920,5899,28
Silly,0.85,-4,22-26,4365,4397,70
Totals,0.87,-17,115-132,19560,24584,226
