Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Dylan,1.16,1.11,6,62-56,10495,13417
Seany,1.24,1.22,11,62-51,10245,13821
Tommey,1.2,1.05,3,66-63,10035,14472
Wuskin,0.84,0.86,-8,48-56,8245,10508
Zed,1.13,0.93,-4,55-59,8635,10964
Totals,1.11,1.03,8,293-285,47655,63182
UYU,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Knight,0.86,0.95,-3,58-61,9800,12814
Mayhem,0.82,0.93,-4,51-55,9350,11385
Methodz,0.9,0.97,-2,56-58,10265,13857
Parzelion,1.15,1.2,11,65-54,11325,13714
Proto,0.7,0.79,-14,53-67,8460,10984
Totals,0.88,0.96,-12,283-295,49200,62754
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.4,-3,2-5,440,834,0:2
Seany,4.5,7,9-2,1300,1505,0:0
Tommey,9,8,9-1,1385,1874,1:1
Wuskin,0.8,-1,4-5,400,1071,1:0
Zed,1.33,1,4-3,975,434,0:1
Totals,1.75,12,28-16,4500,5718,2:4
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,0.17,-5,1-6,200,646,0:1
Mayhem,0.67,-2,4-6,425,905,2:0
Methodz,1.2,1,6-5,775,1258,0:1
Parzelion,0.17,-5,1-6,175,584,0:0
Proto,0.8,-1,4-5,690,855,2:0
Totals,0.57,-12,16-28,2265,4248,4:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.64,-10,18-28,3365,4507,0:0
Seany,1,0,22-22,4235,6015,0:0
Tommey,0.9,-3,28-31,4175,5809,1:2
Wuskin,0.83,-4,20-24,3855,3907,0:0
Zed,0.52,-14,15-29,2475,3714,0:2
Totals,0.77,-31,103-134,18105,23952,1:4
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,1.5,10,30-20,4405,6192,0:0
Mayhem,1,0,20-20,4050,4507,0:0
Methodz,1.7,14,34-20,5530,7726,2:0
Parzelion,1.61,11,29-18,5140,6210,2:0
Proto,0.81,-5,21-26,3125,3731,0:1
Totals,1.29,30,134-104,22250,28366,4:1
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.67,12,30-18,5015,5983,99
Seany,1.4,8,28-20,4385,5519,20
Tommey,1,0,25-25,3600,5675,66
Wuskin,0.9,-2,19-21,3265,4330,75
Zed,1.13,3,26-23,3660,5153,78
Totals,1.2,21,128-107,19925,26660,338
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Knight,0.7,-8,19-27,3950,4286,56
Mayhem,1.05,1,23-22,4200,5001,107
Methodz,0.54,-12,14-26,3560,3767,74
Parzelion,1,0,24-24,4240,4612,67
Proto,0.9,-3,26-29,4020,5225,40
Totals,0.83,-22,106-128,19970,22891,344
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,2.4,7,12-5,1675,2093,2:0
Seany,0.43,-4,3-7,325,782,1:1
Tommey,0.67,-2,4-6,875,1114,2:0
Wuskin,0.83,-1,5-6,725,1200,0:2
Zed,2.5,6,10-4,1525,1663,0:1
Totals,1.21,6,34-28,5125,6852,5:4
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,1,0,8-8,1245,1690,2:2
Mayhem,0.57,-3,4-7,675,972,0:2
Methodz,0.29,-5,2-7,400,1106,1:1
Parzelion,1.83,5,11-6,1770,2308,1:0
Proto,0.29,-5,2-7,625,1173,0:0
Totals,0.77,-8,27-35,4715,7249,4:5
