Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Chino,0.75,-7,21-28,4115,5213,73
Diabolic,0.62,-11,18-29,3305,4193,41
Frosty,0.81,-5,21-26,3300,4025,27
General,0.82,-5,23-28,4135,5194,48
Kismet,0.61,-13,20-33,3575,4774,30
Totals,0.72,-41,103-144,18430,23399,219
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.45,10,32-22,4375,5333,51
Formal,0.92,-2,22-24,4020,5417,27
Gunless,2.26,24,43-19,6680,7365,112
John,0.9,-2,19-21,4085,3800,61
Slacked,1.65,11,28-17,4725,5067,131
Totals,1.4,41,144-103,23885,26982,382
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,0.67,-2,4-6,425,732,0:0
Diabolic,0.5,-3,3-6,625,684,0:2
Frosty,1,0,6-6,800,1151,0:1
General,0.33,-4,2-6,540,661,1:1
Kismet,0.67,-2,4-6,755,1045,0:2
Totals,0.63,-11,19-30,3145,4273,1:6
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1,0,6-6,750,1367,0:0
Formal,2,3,6-3,925,1000,1:0
Gunless,2.33,4,7-3,1050,1456,2:0
John,1.4,2,7-5,925,1435,1:0
Slacked,1,0,4-4,1015,986,2:1
Totals,1.43,9,30-21,4665,6244,6:1
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,0.95,-1,18-19,3025,4438,0:0
Diabolic,0.4,-12,8-20,2175,2644,0:0
Frosty,1.32,6,25-19,3100,3846,0:0
General,0.95,-1,20-21,3750,4868,1:2
Kismet,0.71,-7,17-24,2975,3478,1:0
Totals,0.85,-15,88-103,15025,19274,2:2
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.18,3,20-17,4270,4576,2:0
Formal,1.16,3,22-19,4310,5381,0:0
Gunless,1.26,5,24-19,3525,3928,0:0
John,1.67,10,25-15,4055,4114,0:1
Slacked,0.67,-6,12-18,2825,3340,0:1
Totals,1.17,15,103-88,18985,21339,2:2
