100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.5,-7,7-14,1910,2312,87
Kenny,2.08,13,25-12,3110,4744,33
Octane,3.5,20,28-8,4995,4892,152
Priestahh,1.17,3,21-18,2695,3792,32
Slasher,1.43,6,20-14,3460,4186,26
Totals,1.53,35,101-66,16170,19926,330
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.63,-7,12-19,2415,3510,41
Lucky,0.6,-8,12-20,2270,3119,59
MethodZsick,0.48,-11,10-21,2215,2479,12
Mettalz,1.05,1,20-19,2605,3543,23
Sukry,0.55,-10,12-22,2400,2916,23
Totals,0.65,-35,66-101,11905,15567,158
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1,0,6-6,1755,1762,1:0
Kenny,1.5,3,9-6,1675,1635,0:0
Octane,1,0,8-8,1275,2430,2:0
Priestahh,1.43,3,10-7,1100,1298,2:3
Slasher,1.14,1,8-7,1400,2446,2:0
Totals,1.21,7,41-34,7205,9571,7:3
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.56,-4,5-9,925,1455,1:1
Lucky,1.25,2,10-8,1500,1982,0:2
MethodZsick,0.86,-1,6-7,1090,1556,0:2
Mettalz,0.78,-2,7-9,1150,2110,2:0
Sukry,0.63,-3,5-8,975,1354,0:2
Totals,0.8,-8,33-41,5640,8457,3:7
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.08,1,14-13,2295,2735,0:0
Kenny,2.1,11,21-10,3180,4054,0:1
Octane,1.67,6,15-9,2775,3085,0:0
Priestahh,1.5,7,21-14,3250,3858,1:0
Slasher,0.83,-2,10-12,2025,2842,1:0
Totals,1.4,23,81-58,13525,16574,2:1
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.55,-9,11-20,2140,2889,0:1
Lucky,0.92,-1,12-13,1725,2473,1:0
MethodZsick,0.44,-9,7-16,1900,2105,0:1
Mettalz,0.79,-3,11-14,2025,2399,0:0
Sukry,0.94,-1,17-18,2990,3178,0:0
Totals,0.72,-23,58-81,10780,13044,1:2
