Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,1.22,4,22-18,3490,4865,130
Joee,0.6,-10,15-25,2740,3339,37
Rated,0.8,-4,16-20,3670,4112,36
Skrapz,1,0,22-22,3505,4656,44
Zer0,1.18,4,26-22,3925,4639,88
Totals,0.94,-6,101-107,17330,21611,335
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.28,5,23-18,4560,5034,107
Aqua,0.94,-1,17-18,3545,3820,94
Jurd,0.95,-1,21-22,3405,3725,32
Loony,1.14,3,25-22,4010,4719,38
Temp,1,0,21-21,3820,5385,55
Totals,1.06,6,107-101,19340,22683,326
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.29,-5,2-7,550,936,0:0
Joee,0.75,-2,6-8,1010,1433,2:2
Rated,1.4,2,7-5,1240,1397,0:1
Skrapz,1,0,5-5,675,1403,0:1
Zer0,0.67,-2,4-6,600,1267,2:0
Totals,0.77,-7,24-31,4075,6436,4:4
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.2,1,6-5,975,1494,0:0
Aqua,1.75,3,7-4,1420,1749,1:0
Jurd,0.67,-2,4-6,900,1392,1:0
Loony,1.2,1,6-5,1250,1329,1:2
Temp,1.75,3,7-4,1125,1546,1:2
Totals,1.25,6,30-24,5670,7510,4:4
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.63,-7,12-19,2450,3666,0:2
Joee,0.82,-3,14-17,2375,2620,0:0
Rated,1.42,5,17-12,2620,3774,0:0
Skrapz,0.65,-6,11-17,2225,2781,0:0
Zer0,0.94,-1,17-18,2750,3528,0:2
Totals,0.86,-12,71-83,12420,16369,0:4
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.36,4,15-11,3250,3937,0:0
Aqua,0.81,-3,13-16,2770,3332,0:0
Jurd,1.06,1,17-16,2575,2614,1:0
Loony,1.62,8,21-13,3610,4360,1:0
Temp,1.13,2,17-15,3325,4668,2:0
Totals,1.17,12,83-71,15530,18911,4:0
