Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.16,3,22-19,2885,3975,9
Jetli,0.52,-12,13-25,1905,3392,29
MRuiz,0.6,-8,12-20,1680,2729,10
Profeezy,0.6,-8,12-20,1920,3013,28
Skyz,0.94,-1,17-18,2525,3559,72
Totals,0.75,-26,76-102,10915,16668,148
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.9,-2,19-21,3180,3388,33
Formal,1.13,2,17-15,2865,3760,42
Gunless,2.85,24,37-13,4930,5902,128
John,0.87,-2,13-15,3115,3096,81
Slacked,1.33,4,16-12,3120,3480,83
Totals,1.34,26,102-76,17210,19626,367
Excelerate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,0.78,-2,7-9,1150,1637,3:0
Jetli,1,0,8-8,1250,1512,0:1
MRuiz,0.57,-3,4-7,815,1688,1:0
Profeezy,1,0,9-9,1600,1886,3:2
Skyz,1.14,1,8-7,975,1654,1:0
Totals,0.9,-4,36-40,5790,8377,8:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.63,-3,5-8,1140,1862,0:2
Formal,0.5,-4,4-8,625,2284,0:2
Gunless,3,10,15-5,1650,2209,1:0
John,0.75,-2,6-8,1240,1527,1:3
Slacked,1.13,1,9-8,1725,1983,1:1
Totals,1.05,2,39-37,6380,9865,3:8
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,0.82,-3,14-17,2125,3144,0:0
Jetli,0.9,-2,18-20,2200,3855,0:1
MRuiz,0.69,-5,11-16,1995,2605,0:0
Profeezy,1,0,17-17,2350,3511,0:2
Skyz,0.86,-2,12-14,2000,3603,0:0
Totals,0.86,-12,72-84,10670,16718,0:3
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.69,9,22-13,3865,3819,0:0
Formal,0.92,-1,11-12,3625,3838,1:0
Gunless,0.94,-1,15-16,3100,4037,0:0
John,1.13,2,17-15,3335,3928,1:0
Slacked,1.19,3,19-16,3100,3622,1:0
Totals,1.17,12,84-72,17025,19244,3:0
Excelerate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.47,7,22-15,4030,4096,64
Jetli,1.55,6,17-11,3255,3674,25
MRuiz,1.07,1,15-14,2720,3193,51
Profeezy,1.38,5,18-13,2600,2741,53
Skyz,2.5,15,25-10,3590,4375,145
Totals,1.54,34,97-63,16195,18079,338
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.71,-6,15-21,2300,3197,4
Formal,0.58,-8,11-19,2040,3073,26
Gunless,0.75,-5,15-20,2330,3324,27
John,0.72,-5,13-18,1980,2447,12
Slacked,0.47,-10,9-19,2555,2542,29
Totals,0.65,-34,63-97,11205,14583,98
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.67,4,10-6,1590,2304,1:0
Jetli,0.63,-3,5-8,815,1292,1:4
MRuiz,0.38,-5,3-8,620,774,0:1
Profeezy,1.22,2,11-9,1575,1601,2:0
Skyz,0.75,-2,6-8,1375,2377,1:0
Totals,0.9,-4,35-39,5975,8348,5:5
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.8,4,9-5,1775,1675,1:1
Formal,0.75,-2,6-8,1025,1412,1:2
Gunless,1.14,1,8-7,1525,2172,2:1
John,0.56,-4,5-9,1065,1119,1:1
Slacked,1.83,5,11-6,1815,2093,0:0
Totals,1.11,4,39-35,7205,8471,5:5
