Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,2.36,19,33-14,4375,4918,80
Havok,1.79,11,25-14,3580,4480,27
MajorManiak,0.78,-4,14-18,2360,3203,72
Maux,1.78,7,16-9,2545,2737,103
Nagafen,1.19,3,19-16,3895,4184,77
Totals,1.51,36,107-71,16755,19522,359
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,0.88,-2,15-17,3105,3165,52
Seany,0.86,-3,19-22,2830,4602,44
Tommey,0.43,-13,10-23,1295,2361,28
Wuskin,0.5,-12,12-24,2430,3080,47
Zed,0.71,-6,15-21,2560,3487,45
Totals,0.66,-36,71-107,12220,16695,216
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.56,-4,5-9,1295,1400,3:1
Havok,1.57,4,11-7,1415,1886,0:0
MajorManiak,0.5,-4,4-8,500,1239,0:1
Maux,1.29,2,9-7,1075,1654,1:2
Nagafen,0.71,-2,5-7,1215,1140,2:0
Totals,0.89,-4,34-38,5500,7319,6:4
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.43,3,10-7,1355,2144,1:1
Seany,1.6,3,8-5,1730,1782,0:2
Tommey,0.44,-5,4-9,600,1797,2:1
Wuskin,0.83,-1,5-6,750,1453,0:2
Zed,1.11,1,10-9,1425,1522,1:0
Totals,1.03,1,37-36,5860,8698,4:6
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.93,-2,26-28,4625,5421,0:1
Havok,1.13,3,27-24,4495,5676,0:0
MajorManiak,0.81,-4,17-21,2875,2986,1:0
Maux,1.73,11,26-15,4350,5335,0:2
Nagafen,0.54,-12,14-26,4050,4170,0:1
Totals,0.96,-4,110-114,20395,23588,1:4
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.17,4,28-24,5110,5036,0:1
Seany,1.15,3,23-20,4325,5199,1:0
Tommey,0.74,-7,20-27,3425,5008,0:0
Wuskin,1.25,5,25-20,4245,5054,2:0
Zed,0.95,-1,18-19,4250,4066,1:0
Totals,1.04,4,114-110,21355,24363,4:1
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.94,-1,17-18,2935,4013,63
Havok,1.17,4,28-24,4275,4889,67
MajorManiak,1.11,2,21-19,3565,5062,46
Maux,1.38,6,22-16,3440,4339,79
Nagafen,1,0,19-19,3660,3942,65
Totals,1.11,11,107-96,17875,22245,320
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.18,4,26-22,3555,4652,34
Seany,0.95,-1,19-20,3025,4642,36
Tommey,0.64,-8,14-22,2665,3771,61
Wuskin,0.72,-7,18-25,3505,4120,81
Zed,1.06,1,19-18,3405,4115,29
Totals,0.9,-11,96-107,16155,21300,241
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.5,3,9-6,1665,1897,0:4
Havok,1.5,4,12-8,1770,2598,3:1
MajorManiak,0.75,-2,6-8,1075,1399,0:1
Maux,0.86,-1,6-7,1360,2170,0:0
Nagafen,0.75,-2,6-8,920,1096,0:2
Totals,1.05,2,39-37,6790,9160,3:8
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.83,5,11-6,2120,2020,4:1
Seany,1,0,7-7,1025,1900,2:0
Tommey,0.36,-7,4-11,625,1435,0:1
Wuskin,0.71,-2,5-7,700,1295,0:0
Zed,0.9,-1,9-10,1275,2060,2:1
Totals,0.88,-5,36-41,5745,8710,8:3
