100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.66,-10,19-29,4650,5545,60
Kenny,1,0,32-32,5575,6740,34
Octane,1.14,4,32-28,5615,5538,41
Priestahh,1.41,12,41-29,6135,7569,96
Slasher,0.87,-4,26-30,4855,6382,108
Totals,1.01,2,150-148,26830,31774,339
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Chino,0.9,-3,27-30,4880,5665,121
Diabolic,0.93,-2,27-29,4670,5554,45
Frosty,1.07,2,29-27,5205,5949,76
General,1.03,1,32-31,5620,6061,47
Kismet,1,0,33-33,5550,7186,25
Totals,0.99,-2,148-150,25925,30415,314
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.66,0.66,-10,19-29,4650,5545
Kenny,1,1,0,32-32,5575,6740
Octane,1.14,1.14,4,32-28,5615,5538
Priestahh,1.41,1.41,12,41-29,6135,7569
Slasher,0.87,0.87,-4,26-30,4855,6382
Totals,1.01,1.01,2,150-148,26830,31774
Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.9,0.9,-3,27-30,4880,5665
Diabolic,0.93,0.93,-2,27-29,4670,5554
Frosty,1.07,1.07,2,29-27,5205,5949
General,1.03,1.03,1,32-31,5620,6061
Kismet,1,1,0,33-33,5550,7186
Totals,0.99,0.99,-2,148-150,25925,30415
100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.66,0.66,-10,19-29,4650,5545
Kenny,1,1,0,32-32,5575,6740
Octane,1.14,1.14,4,32-28,5615,5538
Priestahh,1.41,1.41,12,41-29,6135,7569
Slasher,0.87,0.87,-4,26-30,4855,6382
Totals,1.01,1.01,2,150-148,26830,31774
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.9,0.9,-3,27-30,4880,5665
Diabolic,0.93,0.93,-2,27-29,4670,5554
Frosty,1.07,1.07,2,29-27,5205,5949
General,1.03,1.03,1,32-31,5620,6061
Kismet,1,1,0,33-33,5550,7186
Totals,0.99,0.99,-2,148-150,25925,30415
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.66,0.66,-10,19-29,4650,5545
Kenny,1,1,0,32-32,5575,6740
Octane,1.14,1.14,4,32-28,5615,5538
Priestahh,1.41,1.41,12,41-29,6135,7569
Slasher,0.87,0.87,-4,26-30,4855,6382
Totals,1.01,1.01,2,150-148,26830,31774
Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.9,0.9,-3,27-30,4880,5665
Diabolic,0.93,0.93,-2,27-29,4670,5554
Frosty,1.07,1.07,2,29-27,5205,5949
General,1.03,1.03,1,32-31,5620,6061
Kismet,1,1,0,33-33,5550,7186
Totals,0.99,0.99,-2,148-150,25925,30415
