Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.56,10,28-18,4160,5550,63
Seany,1.13,2,17-15,3110,4506,23
Tommey,1.11,2,21-19,3640,4036,64
Wuskin,1.17,3,21-18,2845,4119,68
Zed,1.2,3,18-15,3200,3399,124
Totals,1.24,20,105-85,16955,21610,342
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.8,-4,16-20,3145,3514,101
Joee,0.52,-11,12-23,2315,3567,32
Rated,0.79,-4,15-19,2720,3424,47
Skrapz,1.45,9,29-20,4145,6284,52
Zer0,0.52,-11,12-23,2150,3179,19
Totals,0.8,-21,84-105,14475,19968,251
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.67,-2,4-6,630,792,0:2
Seany,0.67,-2,4-6,700,1417,0:2
Tommey,1.17,1,7-6,1025,1423,1:0
Wuskin,0.14,-6,1-7,325,898,0:1
Zed,0.29,-5,2-7,575,668,1:0
Totals,0.56,-14,18-32,3255,5198,2:5
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,2,3,6-3,1025,1480,3:0
Joee,0.6,-2,3-5,715,500,0:1
Rated,2.25,5,9-4,1510,1999,1:0
Skrapz,3.67,8,11-3,1535,2196,1:0
Zer0,1,0,3-3,575,626,0:1
Totals,1.78,14,32-18,5360,6801,5:2
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.08,2,26-24,4235,5082,0:2
Seany,1.33,5,20-15,3825,5611,0:0
Tommey,0.96,-1,25-26,4225,5086,0:0
Wuskin,1.11,2,20-18,3820,3929,0:0
Zed,0.96,-1,23-24,4350,4853,2:1
Totals,1.07,7,114-107,20455,24561,2:3
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.95,-1,21-22,3945,5188,0:0
Joee,0.78,-6,21-27,3840,4955,1:2
Rated,0.63,-7,12-19,3115,4227,1:0
Skrapz,1.27,6,28-22,4200,6151,1:0
Zer0,1,0,25-25,3750,5070,0:0
Totals,0.93,-8,107-115,18850,25591,3:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,0.96,-1,27-28,5105,5526,81
Seany,0.92,-2,24-26,4280,5485,41
Tommey,0.68,-10,21-31,4035,5532,56
Wuskin,1.29,6,27-21,4385,5714,101
Zed,0.81,-5,21-26,3755,3634,78
Totals,0.91,-12,120-132,21560,25891,357
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,1.25,5,25-20,4795,5086,72
Joee,0.73,-8,22-30,4000,4647,60
Rated,1.19,4,25-21,4135,5401,114
Skrapz,1.13,3,27-24,4680,6349,47
Zer0,1.28,7,32-25,5095,6062,46
Totals,1.09,11,131-120,22705,27545,339
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,2.25,5,9-4,1500,1721,2:0
Seany,2.67,5,8-3,1075,1554,1:0
Tommey,0.83,-1,5-6,725,1238,0:2
Wuskin,3.5,5,7-2,1125,1070,0:1
Zed,1,0,5-5,1075,1010,0:2
Totals,1.7,14,34-20,5500,6593,3:5
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.43,-4,3-7,475,882,1:1
Joee,0.75,-2,6-8,705,1024,0:0
Rated,0.5,-3,3-6,525,1114,1:0
Skrapz,0.5,-4,4-8,475,1098,2:2
Zer0,0.43,-4,3-7,525,886,1:0
Totals,0.53,-17,19-36,2705,5004,5:3
