100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.65,-9,17-26,3245,4018,43
Fero,0.89,-3,24-27,4130,5310,72
Kenny,0.64,-9,16-25,3040,4644,25
Octane,1.71,15,36-21,5905,7309,137
Slasher,1.07,2,29-27,4390,5964,60
Totals,0.97,-4,122-126,20710,27245,337
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,0.96,-1,25-26,5235,5157,40
Seany,1.39,7,25-18,4650,5177,78
Tommey,1.07,2,30-28,4970,5122,45
Wuskin,0.84,-4,21-25,3980,3982,94
Zed,1,0,25-25,4200,4275,83
Totals,1.03,4,126-122,23035,23713,340
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.29,-5,2-7,500,833,0:1
Fero,0.57,-3,4-7,725,1450,0:2
Kenny,0.86,-1,6-7,775,990,0:0
Octane,0.71,-2,5-7,600,1280,2:2
Slasher,1.33,2,8-6,1425,1561,1:0
Totals,0.74,-9,25-34,4025,6114,3:5
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.43,-4,3-7,805,691,1:0
Seany,1,0,5-5,1350,1409,0:1
Tommey,2,5,10-5,1675,2126,2:0
Wuskin,0.5,-3,3-6,675,862,0:2
Zed,4.33,10,13-3,1600,1522,2:0
Totals,1.31,8,34-26,6105,6610,5:3
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.77,-5,17-22,3390,4164,0:0
Fero,0.59,-12,17-29,3560,3938,0:1
Kenny,1.35,7,27-20,4275,5638,1:0
Octane,1.14,3,25-22,4250,5537,2:0
Slasher,1.32,7,29-22,4800,6417,1:0
Totals,1,0,115-115,20275,25694,4:1
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.71,-8,20-28,3550,4514,0:1
Seany,1.47,9,28-19,5045,6067,0:0
Tommey,0.92,-2,24-26,3700,5456,0:1
Wuskin,0.82,-4,18-22,3245,3504,1:0
Zed,1.25,5,25-20,3700,4630,0:2
Totals,1,0,115-115,19240,24171,1:4
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.82,-4,18-22,3085,3593,51
Fero,0.96,-1,23-24,3580,4303,76
Kenny,0.64,-8,14-22,2915,3265,59
Octane,0.6,-8,12-20,2615,3638,94
Slasher,1.37,7,26-19,4000,4787,50
Totals,0.87,-14,93-107,16195,19586,330
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,0.95,-1,20-21,3645,3920,61
Seany,0.6,-8,12-20,3165,3492,71
Tommey,1.5,9,27-18,3740,4937,60
Wuskin,0.88,-2,15-17,2490,3562,50
Zed,1.88,15,32-17,4825,5669,110
Totals,1.14,13,106-93,17865,21580,352
