Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.2,4,24-20,3045,4167,31
Seany,1.4,6,21-15,2920,4858,63
Tommey,1.69,11,27-16,4075,4858,122
Wuskin,1.06,1,19-18,3505,4319,55
Zed,0.24,-16,5-21,1530,1863,72
Totals,1.07,6,96-90,15075,20065,343
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.21,3,17-14,3210,3681,102
Aqua,0.94,-1,17-18,2565,3379,43
Jurd,0.52,-11,12-23,2900,3939,47
Loony,0.95,-1,20-21,2855,3675,47
Temp,1.2,4,24-20,3675,5281,11
Totals,0.94,-6,90-96,15205,19955,250
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,4.33,10,13-3,1940,1718,1:0
Seany,2,4,8-4,1225,1644,2:1
Tommey,0.43,-4,3-7,550,974,1:2
Wuskin,0.33,-4,2-6,550,794,0:0
Zed,1.4,2,7-5,875,1158,0:1
Totals,1.32,8,33-25,5140,6288,4:4
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.33,-4,2-6,300,723,2:0
Aqua,0.88,-1,7-8,725,1703,2:2
Jurd,1.17,1,7-6,825,1255,0:0
Loony,0.14,-6,1-7,425,644,0:1
Temp,0.86,-1,6-7,725,1372,0:1
Totals,0.68,-11,23-34,3000,5697,4:4
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.25,4,20-16,3200,4004,0:0
Seany,1.28,5,23-18,3705,5773,1:0
Tommey,0.81,-4,17-21,3050,4161,0:1
Wuskin,0.63,-7,12-19,2225,3180,0:0
Zed,0.53,-9,10-19,2125,2185,1:1
Totals,0.88,-11,82-93,14305,19303,2:2
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1,0,14-14,3070,3789,1:0
Aqua,1.11,2,21-19,3810,4831,0:0
Jurd,1.5,8,24-16,3250,4358,1:0
Loony,0.76,-4,13-17,2205,2732,0:1
Temp,1.12,2,19-17,3625,5340,0:1
Totals,1.1,8,91-83,15960,21050,2:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.27,7,33-26,5020,5876,37
Seany,0.65,-9,17-26,3505,3791,58
Tommey,0.77,-6,20-26,3560,4897,50
Wuskin,0.79,-5,19-24,3065,4378,49
Zed,0.41,-17,12-29,3270,3942,66
Totals,0.77,-30,101-131,18420,22884,260
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.21,5,29-24,4855,6374,127
Aqua,1.86,12,26-14,4695,5065,111
Jurd,1.33,6,24-18,4035,4225,92
Loony,1.38,8,29-21,5400,6081,44
Temp,0.96,-1,23-24,4480,6357,57
Totals,1.3,30,131-101,23465,28102,431
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.67,-3,6-9,1170,1662,0:3
Seany,0.71,-2,5-7,950,1525,1:0
Tommey,0.67,-3,6-9,925,1681,1:1
Wuskin,0.78,-2,7-9,825,1067,0:1
Zed,1.13,1,9-8,1400,1762,0:3
Totals,0.79,-9,33-42,5270,7697,2:8
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.75,3,7-4,1100,1747,1:0
Aqua,1.5,3,9-6,1090,1927,1:0
Jurd,0.75,-2,6-8,1150,1933,1:2
Loony,0.88,-1,7-8,1550,1244,1:0
Temp,1.29,2,9-7,1175,1849,4:0
Totals,1.15,5,38-33,6065,8700,8:2
