Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.29,7,31-24,5120,5602,109
Havok,0.59,-12,17-29,3285,3821,46
MajorManiak,0.81,-5,22-27,3080,5405,24
Maux,1.36,9,34-25,4435,7169,27
Nagafen,0.61,-12,19-31,3705,4339,68
Totals,0.9,-13,123-136,19625,26336,274
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.12,3,28-25,5360,6312,94
Lucky,1.41,9,31-22,5510,6560,85
MethodZsick,0.71,-8,20-28,3305,4641,45
Mettalz,1.04,1,27-26,4345,4974,70
Sukry,1.3,7,30-23,4320,5889,91
Totals,1.1,12,136-124,22840,28376,385
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.29,2,9-7,1340,1579,2:0
Havok,1.2,1,6-5,1620,1551,1:1
MajorManiak,3,6,9-3,1275,1307,0:1
Maux,0.8,-1,4-5,800,1071,0:0
Nagafen,0.71,-2,5-7,1015,1171,0:3
Totals,1.22,6,33-27,6050,6679,3:5
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.17,1,7-6,1465,1412,1:0
Lucky,0.5,-4,4-8,550,917,2:0
MethodZsick,1.33,2,8-6,1175,1935,0:0
Mettalz,0.86,-1,6-7,1305,1367,2:2
Sukry,0.33,-4,2-6,600,909,0:1
Totals,0.82,-6,27-33,5095,6540,5:3
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.96,-1,22-23,3200,4025,0:0
Havok,0.67,-7,14-21,3475,3886,2:0
MajorManiak,0.86,-3,19-22,3225,4017,0:0
Maux,0.71,-7,17-24,2850,4166,1:0
Nagafen,1.24,5,26-21,3305,5093,0:0
Totals,0.88,-13,98-111,16055,21187,3:0
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.24,5,26-21,3985,5068,0:0
Lucky,1.24,4,21-17,3875,4565,0:0
MethodZsick,1,0,20-20,3150,4229,0:1
Mettalz,0.86,-3,18-21,4025,3525,0:2
Sukry,1.3,6,26-20,4175,5108,0:0
Totals,1.12,12,111-99,19210,22495,0:3
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1,0,22-22,3610,4721,67
Havok,0.81,-4,17-21,2815,3386,48
MajorManiak,1.53,9,26-17,4160,5168,70
Maux,1.5,8,24-16,4040,4485,117
Nagafen,0.77,-5,17-22,3840,4300,130
Totals,1.08,8,106-98,18465,22060,432
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.13,2,18-16,3650,4461,83
Lucky,0.95,-1,21-22,3230,5374,33
MethodZsick,0.76,-5,16-21,2860,3427,56
Mettalz,0.71,-7,17-24,3100,4065,51
Sukry,1.13,3,26-23,3710,5469,55
Totals,0.92,-8,98-106,16550,22796,278
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1,0,6-6,1165,1284,2:0
Havok,1.2,1,6-5,690,963,1:1
MajorManiak,3.33,7,10-3,1550,1192,2:1
Maux,1.4,2,7-5,1275,1404,2:0
Nagafen,0.86,-1,6-7,1105,1480,0:0
Totals,1.35,9,35-26,5785,6323,7:2
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.75,-2,6-8,1140,1399,0:1
Lucky,0.67,-2,4-6,575,1060,0:0
MethodZsick,1,0,7-7,1050,1518,1:2
Mettalz,0.43,-4,3-7,400,794,1:3
Sukry,0.71,-2,5-7,600,992,0:1
Totals,0.71,-10,25-35,3765,5763,2:7
