OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.76,13,30-17,4350,5038,109
Dashy,1.78,14,32-18,5015,6285,27
Karma,1.11,2,21-19,3375,4937,54
Scump,0.56,-12,15-27,2835,3548,48
TJHaly,0.79,-5,19-24,3240,4839,101
Totals,1.11,12,117-105,18815,24647,339
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,0.86,-4,25-29,4390,5242,20
Seany,0.75,-6,18-24,3455,3949,45
Tommey,1.22,4,22-18,3655,4846,70
Wuskin,0.71,-6,15-21,2875,4175,80
Zed,1,0,25-25,3440,4726,30
Totals,0.9,-12,105-117,17815,22938,245
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.29,2,9-7,1580,2158,0:2
Dashy,1.63,5,13-8,1775,2341,1:1
Karma,0.63,-3,5-8,725,1333,2:1
Scump,0.78,-2,7-9,1300,1326,1:1
TJHaly,0.56,-4,5-9,875,2113,2:0
Totals,0.95,-2,39-41,6255,9271,6:5
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.86,6,13-7,2125,2454,1:1
Seany,1.14,1,8-7,1425,1702,0:2
Tommey,0.9,-1,9-10,1600,2199,3:0
Wuskin,1,0,7-7,1000,1612,0:0
Zed,0.38,-5,3-8,1300,754,1:3
Totals,1.03,1,40-39,7450,8721,5:6
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,2.36,19,33-14,5450,5890,0:0
Dashy,1.47,7,22-15,3810,4427,0:0
Karma,0.78,-5,18-23,3050,3892,1:0
Scump,1.47,8,25-17,4590,5598,1:1
TJHaly,1.2,4,24-20,3685,4685,0:2
Totals,1.37,33,122-89,20585,24492,2:3
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.65,-9,17-26,3400,4129,0:0
Seany,0.71,-6,15-21,3425,4327,0:0
Tommey,0.59,-11,16-27,2250,4763,0:1
Wuskin,0.64,-9,16-25,3225,4540,1:1
Zed,1.09,2,25-23,3925,3891,2:0
Totals,0.73,-33,89-122,16225,21650,3:2
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1,0,28-28,4575,6207,33
Dashy,1.52,12,35-23,5785,6924,117
Karma,1.28,7,32-25,4855,5369,92
Scump,0.67,-10,20-30,3940,4915,49
TJHaly,0.62,-11,18-29,3595,4710,44
Totals,0.99,-2,133-135,22750,28125,335
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.21,6,35-29,6550,6152,61
Seany,0.63,-9,15-24,2930,3659,59
Tommey,1.22,6,33-27,5380,6627,73
Wuskin,1,0,28-28,4725,5634,84
Zed,0.92,-2,23-25,4320,4712,87
Totals,1.01,1,134-133,23905,26784,364
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.8,-1,4-5,475,1250,1:1
Dashy,1.33,2,8-6,1725,2139,1:1
Karma,0.5,-4,4-8,705,1233,0:1
Scump,1.13,1,9-8,1355,2095,0:0
TJHaly,0.25,-6,2-8,575,1318,1:3
Totals,0.77,-8,27-35,4835,8035,3:6
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.14,1,8-7,1415,1373,1:2
Seany,1,0,5-5,850,1765,1:0
Tommey,1.2,1,6-5,1150,1621,2:1
Wuskin,0.83,-1,5-6,825,1544,2:0
Zed,2.75,7,11-4,1845,2183,0:0
Totals,1.3,8,35-27,6085,8486,6:3
